,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
12,75739-16931,P,Yu,Yu Darvish,Darvish,28.6,5.0,10200,MIA@SD,SD,MIA,,,,Yes,,P
38,75739-68484,P,Chad,Chad Kuhl,Kuhl,34.25,4.0,9000,COL@ARI,COL,ARI,,,,Yes,,P
553,75739-60643,OF,Aaron,Aaron Judge,Judge,14.16249974568685,24.0,4500,TEX@NYY,NYY,TEX,O,Postponed,,,,OF/UTIL
555,75739-12933,OF,Mike,Mike Trout,Trout,13.317390773607338,23.0,4300,WSH@LAA,LAA,WSH,,,,,,OF/UTIL
556,75739-82575,OF,Yordan,Yordan Alvarez,Alvarez,13.214285714285714,21.0,4300,DET@HOU,HOU,DET,,,,,4.0,OF/UTIL
557,75739-82440,OF,Shohei,Shohei Ohtani,Ohtani,10.780768761268028,26.0,4200,WSH@LAA,LAA,WSH,,,,,,OF/UTIL
558,75739-13929,3B,Manny,Manny Machado,Machado,16.03846153846154,26.0,4200,MIA@SD,SD,MIA,,,,,,3B/UTIL
559,75739-39086,OF,Byron,Byron Buxton,Buxton,15.122222900390623,18.0,4100,OAK@MIN,MIN,OAK,,,,,,OF/UTIL
560,75739-12940,1B,Anthony,Anthony Rizzo,Rizzo,13.62,25.0,4000,TEX@NYY,NYY,TEX,O,Postponed,,,,C/1B/UTIL
561,75739-79151,OF/3B,Taylor,Taylor Ward,Ward,16.05789505807977,19.0,4000,WSH@LAA,LAA,WSH,,,,,,3B/OF/UTIL
562,75739-38965,1B,C.J.,C.J. Cron,Cron,13.78,25.0,3900,COL@ARI,COL,ARI,,,,,4.0,C/1B/UTIL
563,75739-102621,SS,Wander,Wander Franco,Franco,11.13076899601863,26.0,3900,TB@SEA,TB,SEA,,,,,,SS/UTIL
565,75739-12948,OF,Bryce,Bryce Harper,Harper,12.134615384615383,26.0,3900,NYM@PHI,PHI,NYM,O,Postponed,,,,OF/UTIL
566,75739-12968,1B,Paul,Paul Goldschmidt,Goldschmidt,9.970833460489908,24.0,3900,STL@SF,STL,SF,,,,,,C/1B/UTIL
567,75739-53994,1B,Josh,Josh Bell,Bell,12.034615149864784,26.0,3900,WSH@LAA,WSH,LAA,,,,,,C/1B/UTIL
568,75739-79074,3B,Austin,Austin Riley,Riley,11.799999530498798,26.0,3900,MIL@ATL,ATL,MIL,,,,,3.0,3B/UTIL
569,75739-13540,OF,J.D.,J.D. Martinez,Martinez,10.615000152587893,20.0,3900,CWS@BOS,BOS,CWS,,,,,5.0,OF/UTIL
570,75739-13719,3B,Nolan,Nolan Arenado,Arenado,14.220832824707031,24.0,3900,STL@SF,STL,SF,,,,,,3B/UTIL
572,75739-79282,OF,Juan,Juan Soto,Soto,11.95185230396412,27.0,3900,WSH@LAA,WSH,LAA,,,,,,OF/UTIL
573,75739-13909,OF,Randal,Randal Grichuk,Grichuk,11.352380661737351,21.0,3900,COL@ARI,COL,ARI,,,,,3.0,OF/UTIL
574,75739-60631,OF/1B,Kyle,Kyle Schwarber,Schwarber,11.708333333333334,24.0,3800,NYM@PHI,PHI,NYM,O,Postponed,,,,C/1B/OF/UTIL
575,75739-101842,1B/2B,Ty,Ty France,France,11.811538696289062,26.0,3800,TB@SEA,SEA,TB,,,,,,C/1B/2B/UTIL
578,75739-68585,3B,Rafael,Rafael Devers,Devers,9.307692307692308,26.0,3700,CWS@BOS,BOS,CWS,,,,,3.0,3B/UTIL
580,75739-82527,2B/SS,Jazz,Jazz Chisholm Jr.,Chisholm Jr.,14.576190766834078,21.0,3600,MIA@SD,MIA,SD,,,,,,2B/SS/UTIL
581,75739-68522,3B,Alex,Alex Bregman,Bregman,10.107691838191103,26.0,3600,DET@HOU,HOU,DET,,,,,3.0,3B/UTIL
582,75739-52179,SS,J.P.,J.P. Crawford,Crawford,11.26153799203726,26.0,3600,TB@SEA,SEA,TB,,,,,,SS/UTIL
583,75739-37982,SS,Xander,Xander Bogaerts,Bogaerts,10.40800048828125,25.0,3600,CWS@BOS,BOS,CWS,,,,,4.0,SS/UTIL
584,75739-60655,SS,Willy,Willy Adames,Adames,13.48846200796274,26.0,3600,MIL@ATL,MIL,ATL,,,,,2.0,SS/UTIL
