,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position,binned
0,75598-60633,P,Carlos,Carlos Rodon,Rodon,50.0,4.0,11100,SF@LAD,SF,LAD,,,,Yes,,P,
5,75598-119441,P,Alek,Alek Manoah,Manoah,44.5,4.0,10400,NYY@TOR,TOR,NYY,,,,Yes,,P,
12,75598-80582,P,Brandon,Brandon Woodruff,Woodruff,24.0,4.0,9700,CIN@MIL,MIL,CIN,,,,Yes,,P,
467,75598-60643,OF,Aaron,Aaron Judge,Judge,13.87272782759233,22.0,4600,NYY@TOR,NYY,TOR,,,,,2.0,OF/UTIL,
468,75598-12933,OF,Mike,Mike Trout,Trout,13.852380661737351,21.0,4300,LAA@BOS,LAA,BOS,,,,,2.0,OF/UTIL,
469,75598-82575,OF,Yordan,Yordan Alvarez,Alvarez,13.172222561306423,18.0,4200,SEA@HOU,HOU,SEA,,,,,4.0,OF/UTIL,
470,75598-65881,SS/2B,Trea,Trea Turner,Turner,10.8000001453218,21.0,4100,SF@LAD,LAD,SF,,,,,,2B/SS/UTIL,
471,75598-82440,OF,Shohei,Shohei Ohtani,Ohtani,11.104347560716713,23.0,4100,LAA@BOS,LAA,BOS,,,,,3.0,OF/UTIL,
472,75598-12940,1B,Anthony,Anthony Rizzo,Rizzo,14.673913043478262,23.0,4100,NYY@TOR,NYY,TOR,,,,,3.0,C/1B/UTIL,
473,75598-79273,1B,Vladimir,Vladimir Guerrero Jr.,Guerrero Jr.,11.017391038977582,23.0,4100,NYY@TOR,TOR,NYY,,,,,3.0,C/1B/UTIL,
474,75598-79282,OF,Juan,Juan Soto,Soto,11.129166920979818,24.0,4100,WSH@COL,WSH,COL,,,,,,OF/UTIL,
475,75598-38965,1B,C.J.,C.J. Cron,Cron,13.55000027743253,22.0,4000,WSH@COL,COL,WSH,,,,,4.0,C/1B/UTIL,
476,75598-39086,OF,Byron,Byron Buxton,Buxton,15.386666870117187,15.0,3900,MIN@BAL,MIN,BAL,,,,,1.0,OF/UTIL,
477,75598-102621,SS,Wander,Wander Franco,Franco,12.454545454545457,22.0,3900,TB@OAK,TB,OAK,,,,,,SS/UTIL,
478,75598-39151,OF,Mookie,Mookie Betts,Betts,11.759999847412107,20.0,3900,SF@LAD,LAD,SF,,,,,,OF/UTIL,
479,75598-16983,OF,George,George Springer,Springer,12.278260604194973,23.0,3900,NYY@TOR,TOR,NYY,,,,,1.0,OF/UTIL,
480,75598-12968,1B,Paul,Paul Goldschmidt,Goldschmidt,10.376190185546877,21.0,3900,STL@KC,STL,KC,,,,,2.0,C/1B/UTIL,
481,75598-53994,1B,Josh,Josh Bell,Bell,11.134782874065897,23.0,3900,WSH@COL,WSH,COL,,,,,,C/1B/UTIL,
482,75598-68522,3B,Alex,Alex Bregman,Bregman,9.908695386803668,23.0,3900,SEA@HOU,HOU,SEA,,,,,3.0,3B/UTIL,
483,75598-101910,OF,Connor,Connor Joe,Joe,11.60952395484561,21.0,3900,WSH@COL,COL,WSH,,,,,1.0,OF/UTIL,
484,75598-68514,3B/2B,Ryan,Ryan McMahon,McMahon,10.11904761904762,21.0,3800,WSH@COL,COL,WSH,,,,,5.0,2B/3B/UTIL,
485,75598-13229,OF,Charlie,Charlie Blackmon,Blackmon,11.48947384482936,19.0,3800,WSH@COL,COL,WSH,,,,,2.0,OF/UTIL,
486,75598-79151,OF/3B,Taylor,Taylor Ward,Ward,16.918750762939453,16.0,3800,LAA@BOS,LAA,BOS,,,,,1.0,3B/OF/UTIL,
487,75598-13719,3B,Nolan,Nolan Arenado,Arenado,13.828571137927828,21.0,3800,STL@KC,STL,KC,,,,,4.0,3B/UTIL,
488,75598-101842,1B/2B,Ty,Ty France,France,12.821738865064535,23.0,3800,SEA@HOU,SEA,HOU,,,,,2.0,C/1B/2B/UTIL,
489,75598-13909,OF,Randal,Randal Grichuk,Grichuk,11.5,18.0,3800,WSH@COL,COL,WSH,,,,,3.0,OF/UTIL,
490,75598-68585,3B,Rafael,Rafael Devers,Devers,9.447826219641644,23.0,3700,LAA@BOS,BOS,LAA,,,,,2.0,3B/UTIL,
491,75598-11334,1B,Freddie,Freddie Freeman,Freeman,11.514285859607517,21.0,3700,SF@LAD,LAD,SF,,,,,,C/1B/UTIL,
492,75598-13540,OF,J.D.,J.D. Martinez,Martinez,11.350000381469728,16.0,3700,LAA@BOS,BOS,LAA,,,,,4.0,OF/UTIL,
493,75598-13567,2B/1B/3B,DJ,DJ LeMahieu,LeMahieu,9.595454822887074,22.0,3700,NYY@TOR,NYY,TOR,,,,,0.0,C/1B/2B/3B/UTIL,
494,75598-37982,SS,Xander,Xander Bogaerts,Bogaerts,10.422727411443535,22.0,3600,LAA@BOS,BOS,LAA,,,,,3.0,SS/UTIL,
497,75598-13864,OF,Joc,Joc Pederson,Pederson,12.449999809265137,16.0,3600,SF@LAD,SF,LAD,DTD,Groin,,,,OF/UTIL,
498,75598-12302,OF,Giancarlo,Giancarlo Stanton,Stanton,8.409090909090908,22.0,3500,NYY@TOR,NYY,TOR,,,,,4.0,OF/UTIL,
499,75598-16951,3B,Anthony,Anthony Rendon,Rendon,8.995237804594494,21.0,3500,LAA@BOS,LAA,BOS,,,,,4.0,3B/UTIL,
