P,C/1B,2B,3B,SS,OF,OF,OF,UTIL
75637-52198,75637-79277,75637-79225,75637-145590,75637-60655,75637-60643,75637-39086,75637-102320,75637-13638
75637-83190,75637-12940,75637-13430,75637-85260,75637-82613,75637-38561,75637-82734,75637-167012,75637-11334
75637-52198,75637-79277,75637-38561,75637-145590,75637-79225,75637-60643,75637-39086,75637-102320,75637-60655
75637-52198,75637-79277,75637-79225,75637-145590,75637-82613,75637-60643,75637-39086,75637-102320,75637-60655
75637-83190,75637-12940,75637-38561,75637-85260,75637-82613,75637-79092,75637-82734,75637-167012,75637-13638
75637-52198,75637-12940,75637-79225,75637-145590,75637-82613,75637-39086,75637-38561,75637-102320,75637-60655
75637-52198,75637-12940,75637-82613,75637-79225,75637-60655,75637-39086,75637-79159,75637-102320,75637-79277
75637-52198,75637-12940,75637-13638,75637-145590,75637-79225,75637-39086,75637-16983,75637-102320,75637-79277
75637-83190,75637-12940,75637-82613,75637-145590,75637-60655,75637-13894,75637-60643,75637-167012,75637-79277
75637-52198,75637-12940,75637-79225,75637-145590,75637-60655,75637-39086,75637-79159,75637-102320,75637-13638
