Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
69815-9524,PG,Stephen,Stephen Curry,Curry,44.8114292689732,35,10800,GS@NO,GS,NO,O,Quadriceps,,,,PG
69815-110344,PG,Ja,Ja Morant,Morant,44.2814805772569,27,10200,DET@MEM,MEM,DET,,,,,,PG
69815-80808,SF/PF,Jayson,Jayson Tatum,Tatum,44.0617639878217,34,9800,BOS@NY,BOS,NY,,,,,,SF/PF
69815-110310,PF,Zion,Zion Williamson,Williamson,42.6999984248992,62,9300,GS@NO,NO,GS,O,Foot,,,,PF
69815-12341,SG/SF,Paul,Paul George,George,44.4615384615385,26,9200,LAC@PHO,LAC,PHO,O,Elbow,,,,SG/SF
69815-42669,PF/C,Julius,Julius Randle,Randle,39.75,36,9000,BOS@NY,NY,BOS,,,,,,PF/C
69815-67026,SF/SG,Jaylen,Jaylen Brown,Brown,37.8208338419596,24,9000,BOS@NY,BOS,NY,,,,,,SG/SF
69815-58460,SG,Devin,Devin Booker,Booker,38.3933349609375,30,8800,LAC@PHO,PHO,LAC,,,,,,SG
69815-145328,SF,Saddiq,Saddiq Bey,Bey,28.4916653103299,36,8500,DET@MEM,DET,MEM,,,,,,SF
69815-15860,PF/C,Draymond,Draymond Green,Green,33.6181825580019,33,8000,GS@NO,GS,NO,O,Hip,,,,PF/C
69815-66048,SF,Brandon,Brandon Ingram,Ingram,36.9827586206897,29,7900,GS@NO,NO,GS,,,,,,SF
69815-14503,C,Jonas,Jonas Valanciunas,Valanciunas,38.8714285714286,35,7900,GS@NO,NO,GS,,,,,,C
69815-9623,PG,Chris,Chris Paul,Paul,38.3972959776182,37,7800,LAC@PHO,PHO,LAC,,,,,,PG
69815-23831,PF,Jerami,Jerami Grant,Grant,34.3833338419596,24,7700,DET@MEM,DET,MEM,O,Thumb,,,,PF
69815-40562,SG/SF,Josh,Josh Hart,Hart,30.5033325195312,30,7600,GS@NO,NO,GS,,,,,,SG/SF
69815-84708,PF/C,Robert,Robert Williams,Williams,29.906896130792,29,7600,BOS@NY,BOS,NY,,,,,,PF/C
69815-84673,C,Deandre,Deandre Ayton,Ayton,35.9125010172526,24,7500,LAC@PHO,PHO,LAC,O,Not injury related,,,,C
69815-84699,SG/SF,Hamidou,Hamidou Diallo,Diallo,21.2724146349677,29,7500,DET@MEM,DET,MEM,,,,,,SG/SF
69815-145334,SG,Desmond,Desmond Bane,Bane,29.2333327073317,39,7200,DET@MEM,MEM,DET,GTD,Quadriceps,,,,SG
69815-49116,SF,Andrew,Andrew Wiggins,Wiggins,30.2454538056345,33,7200,GS@NO,GS,NO,,,,,,SF
69815-23670,SG/PG,Marcus,Marcus Smart,Smart,29.6599993024554,35,7000,BOS@NY,BOS,NY,,,,,,PG/SG
69815-14512,PF/SF,Marcus,Marcus Morris,Morris,25.6470588235294,17,6900,LAC@PHO,LAC,PHO,,,,,,SF/PF
69815-157808,PG/SG,Cade,Cade Cunningham,Cunningham,32.7925934968171,27,6800,DET@MEM,DET,MEM,,,,,,PG/SG
