Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
67474-55062,C,Nikola,Nikola Jokic,Jokic,55.3928571428571,14,11300,DEN@POR,DEN,POR,GTD,Wrist,,,,C
67474-84669,PG/SG,Luka,Luka Doncic,Doncic,48.3923058143029,13,10700,DAL@LAC,DAL,LAC,GTD,Ankle,,,,PG/SG
67474-15755,PF/C,Anthony,Anthony Davis,Davis,49.8499993218316,18,10500,LAL@NY,LAL,NY,GTD,Illness,,,,PF/C
67474-14528,SF/SG,Jimmy,Jimmy Butler,Butler,45.2928553989955,14,10100,MIA@DET,MIA,DET,,,,,,SG/SF
67474-9488,SF/PF,LeBron,LeBron James,James,42.0625,8,10000,LAL@NY,LAL,NY,O,Suspension,,,,SF/PF
67474-9642,PG,Russell,Russell Westbrook,Westbrook,41.977776421441,18,9900,LAL@NY,LAL,NY,,,,,,PG
67474-12341,SG/SF,Paul,Paul George,George,46.4529418945313,17,9200,DAL@LAC,LAC,DAL,,,,,,SG/SF
67474-20848,PG,Damian,Damian Lillard,Lillard,39.2374992370605,16,8800,DEN@POR,POR,DEN,,,,,,PG
67474-63122,PF/C,Kristaps,Kristaps Porzingis,Porzingis,38.9272738370028,11,8800,DAL@LAC,DAL,LAC,,,,,,PF/C
67474-42669,PF/C,Julius,Julius Randle,Randle,40.8529411764706,17,8400,LAL@NY,NY,LAL,,,,,,PF/C
67474-80817,C/PF,Bam,Bam Adebayo,Adebayo,38.0928562709263,14,8000,MIA@DET,MIA,DET,GTD,Illness,,,,PF/C
67474-23831,PF,Jerami,Jerami Grant,Grant,32.8866658528646,15,7800,MIA@DET,DET,MIA,,,,,,PF
67474-19067,SG,CJ,CJ McCollum,McCollum,35.4352955537684,17,7600,DEN@POR,POR,DEN,,,,,,SG
67474-110312,SG/SF,Tyler,Tyler Herro,Herro,33.0999984741211,16,7600,MIA@DET,MIA,DET,,,,,,SG/SF
67474-157808,PG/SG,Cade,Cade Cunningham,Cunningham,31.2272727272727,11,7500,MIA@DET,DET,MIA,,,,,,PG/SG
67474-84690,PG/SG,Jalen,Jalen Brunson,Brunson,30.6124992370605,16,7200,DAL@LAC,DAL,LAC,,,,,,PG/SG
67474-55057,C,Jusuf,Jusuf Nurkic,Nurkic,31.3823529411765,17,6800,DEN@POR,POR,DEN,,,,,,C
67474-9535,PG,Kyle,Kyle Lowry,Lowry,30.440000406901,15,6800,MIA@DET,MIA,DET,,,,,,PG
67474-17333,SG/SF,Will,Will Barton,Barton,31.9199991861979,15,6500,DEN@POR,DEN,POR,,,,,,SG/SF
67474-41594,PF,Aaron,Aaron Gordon,Gordon,26.7352941176471,17,6200,DEN@POR,DEN,POR,,,,,,PF
67474-110337,SG/SF,Talen,Talen Horton-Tucker,Horton-Tucker,29.2,5,6000,LAL@NY,LAL,NY,,,,,,SG/SF
67474-14523,PG,Reggie,Reggie Jackson,Jackson,27.5882352941176,17,6000,DAL@LAC,LAC,DAL,,,,,,PG
67474-84682,PF/SF,Michael,Michael Porter,Porter,23.2555558946398,9,5900,DEN@POR,DEN,POR,O,Back,,,,SF/PF
67474-110357,SF/SG,RJ,RJ Barrett,Barrett,26.3294121237362,17,5700,LAL@NY,NY,LAL,,,,,,SG/SF
67474-16293,SF/SG,Norman,Norman Powell,Powell,24.8199991861979,15,5700,DEN@POR,POR,DEN,,,,,,SG/SF
67474-145328,SF,Saddiq,Saddiq Bey,Bey,28.3312492370605,16,5700,MIA@DET,DET,MIA,,,,,,SF
67474-22541,C/PF,Kelly,Kelly Olynyk,Olynyk,27.1100006103516,10,5600,MIA@DET,DET,MIA,O,Knee,,,,PF/C
67474-15846,SG/SF,Tim,Tim Hardaway,Hardaway,25.4437503814697,16,5600,DAL@LAC,DAL,LAC,,,,,,SG/SF
67474-85137,SG,Duncan,Duncan Robinson,Robinson,20.5352944766774,17,5500,MIA@DET,MIA,DET,GTD,Knee,,,,SG
67474-70827,C,Ivica,Ivica Zubac,Zubac,24.876470229205,17,5500,DAL@LAC,LAC,DAL,,,,,,C
67474-84699,SG/SF,Hamidou,Hamidou Diallo,Diallo,12.55,10,5500,MIA@DET,DET,MIA,,,,,,SG/SF
67474-9508,SF/PF,Carmelo,Carmelo Anthony,Anthony,25.2166663275825,18,5400,LAL@NY,LAL,NY,,,,,,SF/PF
67474-9475,PG/SG,Derrick,Derrick Rose,Rose,23.876470229205,17,5300,LAL@NY,NY,LAL,GTD,Ankle,,,,PG/SG
67474-12355,SG/PG,Eric,Eric Bledsoe,Bledsoe,24.6882360121783,17,5300,DAL@LAC,LAC,DAL,,,,,,PG/SG
67474-84709,C,Mitchell,Mitchell Robinson,Robinson,22.9866658528646,15,5300,LAL@NY,NY,LAL,O,Concussion,,,,C
67474-9809,SF/PF,Nicolas,Nicolas Batum,Batum,23.6357138497489,14,5100,DAL@LAC,LAC,DAL,O,Covid-19,,,,SF/PF
67474-40396,PG,Monte,Monte Morris,Morris,22.1882360121783,17,5100,DEN@POR,DEN,POR,,,,,,PG
67474-20491,PF/SF,Robert,Robert Covington,Covington,19.9588228113511,17,5000,DEN@POR,POR,DEN,,,,,,SF/PF
67474-23407,PF/C,P.J.,P.J. Tucker,Tucker,18.5470581054688,17,5000,MIA@DET,MIA,DET,GTD,Illness,,,,PF/C
67474-145307,PF,Isaiah,Isaiah Stewart,Stewart,21.2250003814697,16,5000,MIA@DET,DET,MIA,O,Suspension,,,,PF
67474-14507,PG,Kemba,Kemba Walker,Walker,21.9874992370605,16,5000,LAL@NY,NY,LAL,,,,,,PG
67474-23825,C,Nerlens,Nerlens Noel,Noel,20.8499997456868,6,4800,LAL@NY,NY,LAL,,,,,,C
67474-14512,PF/SF,Marcus,Marcus Morris,Morris,14.8500003814697,2,4800,DAL@LAC,LAC,DAL,GTD,Knee,,,,SF/PF
67474-80825,PF,Isaiah,Isaiah Hartenstein,Hartenstein,20.8062496185303,16,4800,DAL@LAC,LAC,DAL,,,,,,PF
67474-16376,SF/SG,Dorian,Dorian Finney-Smith,Finney-Smith,20.4937496185303,16,4800,DAL@LAC,DAL,LAC,,,,,,SG/SF
67474-145489,PG,Killian,Killian Hayes,Hayes,19.0928562709263,14,4700,MIA@DET,DET,MIA,O,Thumb,,,,PG
67474-9660,C,Dwight,Dwight Howard,Howard,15.2875003814697,16,4600,LAL@NY,LAL,NY,,,,,,C
67474-66046,SG/SF,Luke,Luke Kennard,Kennard,19.3235294117647,17,4600,DAL@LAC,LAC,DAL,,,,,,SG/SF
67474-23096,SF/SG,Evan,Evan Fournier,Fournier,20.7823522231158,17,4500,LAL@NY,NY,LAL,,,,,,SG/SF
67474-15684,SG,Victor,Victor Oladipo,Oladipo,35.3787878787879,33,4500,MIA@DET,MIA,DET,O,Quadriceps,,,,SG
67474-14510,SG/SF,Alec,Alec Burks,Burks,19.6999996409697,17,4500,LAL@NY,NY,LAL,,,,,,SG/SF
67474-110315,SG/SF,Terance,Terance Mann,Mann,20.5249996185303,16,4500,DAL@LAC,LAC,DAL,,,,,,SG/SF
67474-20992,PF/SF,Larry,Larry Nance,Nance,17.7941176470588,17,4400,DEN@POR,POR,DEN,,,,,,SF/PF
67474-157834,PG,Bones,Bones Hyland,Hyland,14.0785718645368,14,4400,DEN@POR,DEN,POR,O,Ankle,,,,PG
67474-9648,PF/SF,Jeff,Jeff Green,Green,13.4058819939108,17,4400,DEN@POR,DEN,POR,,,,,,SF/PF
67474-80816,SG,Malik,Malik Monk,Monk,15.3833329942491,18,4400,LAL@NY,LAL,NY,,,,,,SG
67474-101329,SG/PG,Kendrick,Kendrick Nunn,Nunn,23.85,60,4400,LAL@NY,LAL,NY,O,Knee,,,,PG/SG
67474-58084,SF,Justise,Justise Winslow,Winslow,8.74166679382324,12,4400,DAL@LAC,LAC,DAL,,,,,,SF
67474-16196,C/PF,Dwight,Dwight Powell,Powell,18.8374996185303,16,4300,DAL@LAC,DAL,LAC,,,,,,PF/C
67474-110343,SF,Nassir,Nassir Little,Little,19.0941180060892,17,4200,DEN@POR,POR,DEN,,,,,,SF
67474-15405,PF/C,JaMychal,JaMychal Green,Green,13.1176470588235,17,4200,DEN@POR,DEN,POR,,,,,,PF/C
67474-9538,PF,Trevor,Trevor Ariza,Ariza,21.2323536592371,34,4200,LAL@NY,LAL,NY,O,Ankle,,,,PF
67474-80809,SG,Josh,Josh Jackson,Jackson,17.9571424211775,14,4200,MIA@DET,DET,MIA,,,,,,SG
67474-9957,PF/C,Serge,Serge Ibaka,Ibaka,6.70000012715658,3,4200,DAL@LAC,LAC,DAL,,,,,,PF/C
67474-15592,SG/PG,Austin,Austin Rivers,Rivers,7.93999989827474,15,4200,DEN@POR,DEN,POR,,,,,,PG/SG
67474-9455,PG,Rajon,Rajon Rondo,Rondo,13.0846158541166,13,4200,LAL@NY,LAL,NY,,,,,,PG
67474-145339,PF,Obi,Obi Toppin,Toppin,16.1882360121783,17,4100,LAL@NY,NY,LAL,,,,,,PF
67474-14529,PG,Cory,Cory Joseph,Joseph,15.9250001907349,16,4100,MIA@DET,DET,MIA,,,,,,PG
67474-145348,SG/PG,Immanuel,Immanuel Quickley,Quickley,15.0823525821461,17,4100,LAL@NY,NY,LAL,,,,,,PG/SG
67474-81621,PF,Maxi,Maxi Kleber,Kleber,17.8142852783203,7,4100,DAL@LAC,DAL,LAC,GTD,Oblique,,,,PF
67474-101387,PG,Gabe,Gabe Vincent,Vincent,8.43571417672294,14,4000,MIA@DET,MIA,DET,,,,,,PG
67474-15947,SG,Reggie,Reggie Bullock,Bullock,11.1499996185303,16,4000,DAL@LAC,DAL,LAC,,,,,,SG
67474-9561,C,DeAndre,DeAndre Jordan,Jordan,15.5533335367839,15,4000,LAL@NY,LAL,NY,,,,,,C
67474-112708,SG,Max,Max Strus,Strus,12.8249994913737,12,3900,MIA@DET,MIA,DET,,,,,,SG
67474-157805,SG,Brandon,Brandon Boston,Boston,6.55714307512556,7,3900,DAL@LAC,LAC,DAL,,,,,,SG
67474-113267,SG/SF,Caleb,Caleb Martin,Martin,13.5,14,3900,MIA@DET,MIA,DET,,,,,,SG/SF
67474-80813,PG,Frank,Frank Ntilikina,Ntilikina,11.7866668701172,15,3900,DAL@LAC,DAL,LAC,O,Calf,,,,PG
67474-9481,C,Taj,Taj Gibson,Gibson,15.3199996948242,10,3800,LAL@NY,NY,LAL,GTD,Groin,,,,C
67474-40262,SG,Sterling,Sterling Brown,Brown,7.57142857142857,14,3800,DAL@LAC,DAL,LAC,,,,,,SG
67474-145547,PG,Facundo,Facundo Campazzo,Campazzo,11.6125001907349,16,3800,DEN@POR,DEN,POR,,,,,,PG
67474-66196,SG/SF,PJ,PJ Dozier,Dozier,14.5999998204848,17,3800,DEN@POR,DEN,POR,,,,,,SG/SF
67474-80824,PG,Frank,Frank Jackson,Jackson,13.7937498092651,16,3800,MIA@DET,DET,MIA,,,,,,PG
67474-84717,PG/SG,Anfernee,Anfernee Simons,Simons,18,17,3800,DEN@POR,POR,DEN,,,,,,PG/SG
67474-19781,SF/SG,Kent,Kent Bazemore,Bazemore,11.9250001907349,16,3700,LAL@NY,LAL,NY,,,,,,SG/SF
67474-58461,PF,Trey,Trey Lyles,Lyles,12.9750003814697,16,3700,MIA@DET,DET,MIA,,,,,,PF
67474-16301,C,Dewayne,Dewayne Dedmon,Dedmon,13.1058825324563,17,3700,MIA@DET,MIA,DET,,,,,,C
67474-15843,PG/SG,Trey,Trey Burke,Burke,8.5,7,3700,DAL@LAC,DAL,LAC,,,,,,PG/SG
67474-12334,SG,Avery,Avery Bradley,Bradley,10.3705884148093,17,3600,LAL@NY,LAL,NY,,,,,,SG
67474-15691,C,Cody,Cody Zeller,Zeller,12.2882349350873,17,3600,DEN@POR,POR,DEN,,,,,,C
67474-17517,SF/SG,Tony,Tony Snell,Snell,3.88181825117631,11,3600,DEN@POR,POR,DEN,,,,,,SG/SF
