PG,PG,SG,SG,SF,SF,PF,PF,C
67474-14529,67474-20848,67474-157808,67474-12341,67474-145328,67474-110337,67474-9508,67474-42669,67474-23825
67474-14523,67474-9642,67474-14510,67474-14528,67474-110343,67474-110315,67474-41594,67474-23831,67474-55057
67474-84690,67474-9535,67474-16293,67474-110357,67474-110312,67474-17333,67474-9648,67474-63122,67474-70827
67474-14529,67474-14523,67474-14528,67474-12341,67474-145328,67474-110337,67474-9508,67474-42669,67474-23825
67474-20848,67474-9642,67474-14510,67474-157808,67474-110357,67474-110315,67474-9648,67474-23831,67474-55057
67474-14529,67474-20848,67474-157808,67474-12341,67474-110357,67474-110337,67474-9508,67474-42669,67474-23825
67474-14523,67474-9642,67474-14510,67474-14528,67474-145328,67474-110315,67474-9648,67474-23831,67474-55057
67474-14529,67474-14523,67474-14510,67474-157808,67474-14528,67474-12341,67474-9508,67474-42669,67474-23825
67474-20848,67474-9642,67474-110357,67474-110337,67474-145328,67474-110315,67474-41594,67474-9648,67474-63122
67474-14529,67474-14523,67474-157808,67474-14528,67474-12341,67474-110315,67474-9508,67474-42669,67474-23825
