Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
67626-40199,PF/SF,Giannis,Giannis Antetokounmpo,Antetokounmpo,56.416666666666664,18,11700,MIL@DEN,MIL,DEN,,,,,,SF/PF
67626-55062,C,Nikola,Nikola Jokic,Jokic,55.392857142857146,14,11300,MIL@DEN,DEN,MIL,GTD,Wrist,,,,C
67626-15755,PF/C,Anthony,Anthony Davis,Davis,48.89473684210526,19,11000,SAC@LAL,LAL,SAC,,,,,,PF/C
67626-9524,PG,Stephen,Stephen Curry,Curry,48.74117503446691,17,10500,POR@GS,GS,POR,,,,,,PG
67626-80808,SF/PF,Jayson,Jayson Tatum,Tatum,43.36842105263158,19,10000,BOS@SA,BOS,SA,,,,,,SF/PF
67626-9488,SF/PF,LeBron,LeBron James,James,44.166666666666664,9,9900,SAC@LAL,LAL,SAC,GTD,Abdomen,,,,SF/PF
67626-9642,PG,Russell,Russell Westbrook,Westbrook,42.60499877929688,20,9900,SAC@LAL,LAL,SAC,,,,,,PG
67626-67708,PG/SG,Dejounte,Dejounte Murray,Murray,45.73529411764706,17,9700,BOS@SA,SA,BOS,,,,,,PG/SG
67626-145485,PG,LaMelo,LaMelo Ball,Ball,44.460000610351564,20,9300,MIN@CHA,CHA,MIN,,,,,,PG
67626-110344,PG,Ja,Ja Morant,Morant,45.333333333333336,18,9000,ATL@MEM,MEM,ATL,,,,,,PG
67626-40203,C,Rudy,Rudy Gobert,Gobert,42.56666734483507,18,9000,NO@UTA,UTA,NO,,,,,,C
67626-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,42.599999321831596,18,8800,MIN@CHA,MIN,CHA,,,,,,C
67626-15595,SG,Bradley,Bradley Beal,Beal,38.7,15,8800,WAS@OKC,WAS,OKC,,,,,,SG
67626-20848,PG,Damian,Damian Lillard,Lillard,39.894443088107636,18,8800,POR@GS,POR,GS,,,,,,PG
67626-42669,PF/C,Julius,Julius Randle,Randle,41.122222900390625,18,8700,PHO@NY,NY,PHO,,,,,,PF/C
67626-84671,PG,Trae,Trae Young,Young,42.77368485300165,19,8700,ATL@MEM,ATL,MEM,GTD,Ankle,,,,PG
67626-9714,SG/SF,DeMar,DeMar DeRozan,DeRozan,40.53157766241776,19,8600,CHI@ORL,CHI,ORL,,,,,,SG/SF
67626-9623,PG,Chris,Chris Paul,Paul,39.361111111111114,18,8500,PHO@NY,PHO,NY,,,,,,PG
67626-24247,PG,Fred,Fred VanVleet,VanVleet,39.46111043294271,18,8400,TOR@IND,TOR,IND,,,,,,PG
67626-59358,PF/C,Domantas,Domantas Sabonis,Sabonis,38.629998779296876,20,8400,TOR@IND,IND,TOR,,,,,,PF/C
67626-110310,PF,Zion,Zion Williamson,Williamson,42.69999842489919,62,8300,NO@UTA,NO,UTA,O,Foot,,,,PF
67626-84678,SF,Miles,Miles Bridges,Bridges,39.675,20,8200,MIN@CHA,CHA,MIN,,,,,,SF
67626-84680,SG/PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,34.95000076293945,16,8200,WAS@OKC,OKC,WAS,GTD,Ankle,,,,PG/SG
67626-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,39.005880916819855,17,8100,NO@UTA,UTA,NO,,,,,,PG/SG
67626-40783,SG/PG,Zach,Zach LaVine,LaVine,37.73684210526316,19,8000,CHI@ORL,CHI,ORL,,,,,,PG/SG
67626-60021,PF,Pascal,Pascal Siakam,Siakam,33.88750076293945,8,7900,TOR@IND,TOR,IND,,,,,,PF
67626-145321,SF/SG,Anthony,Anthony Edwards,Edwards,38.97222222222222,18,7900,MIN@CHA,MIN,CHA,,,,,,SG/SF
67626-66236,PF/C,John,John Collins,Collins,34.10526315789474,19,7800,ATL@MEM,ATL,MEM,,,,,,PF/C
67626-145327,PG/SG,Cole,Cole Anthony,Anthony,37.724998474121094,16,7800,CHI@ORL,ORL,CHI,O,Ankle,,,,PG/SG
67626-66048,SF,Brandon,Brandon Ingram,Ingram,34.67692213792067,13,7700,NO@UTA,NO,UTA,,,,,,SF
67626-58460,SG,Devin,Devin Booker,Booker,37.599999321831596,18,7700,PHO@NY,PHO,NY,,,,,,SG
67626-84673,C,Deandre,Deandre Ayton,Ayton,35.65833282470703,12,7700,PHO@NY,PHO,NY,,,,,,C
67626-67026,SF/SG,Jaylen,Jaylen Brown,Brown,36.23999938964844,10,7700,BOS@SA,BOS,SA,,,,,,SG/SF
67626-68090,SF/PF,OG,OG Anunoby,Anunoby,35.44666748046875,15,7700,TOR@IND,TOR,IND,GTD,Hip,,,,SF/PF
67626-14514,C,Nikola,Nikola Vucevic,Vucevic,38.09166717529297,12,7600,CHI@ORL,CHI,ORL,,,,,,C
67626-19067,SG,CJ,CJ McCollum,McCollum,35.55263157894737,19,7500,POR@GS,POR,GS,,,,,,SG
67626-55059,C,Clint,Clint Capela,Capela,33.610525030838815,19,7500,ATL@MEM,ATL,MEM,,,,,,C
67626-23776,C/PF,Montrezl,Montrezl Harrell,Harrell,34.327779134114586,18,7400,WAS@OKC,WAS,OKC,,,,,,PF/C
67626-9453,PF/C,Al,Al Horford,Horford,34.79999923706055,16,7400,BOS@SA,BOS,SA,,,,,,PF/C
67626-58312,SG/PG,D'Angelo,D'Angelo Russell,Russell,33.34375,16,7400,MIN@CHA,MIN,CHA,,,,,,PG/SG
67626-16261,SF/SG,Khris,Khris Middleton,Middleton,32.71818126331676,11,7300,MIL@DEN,MIL,DEN,,,,,,SG/SF
67626-80810,PG,De'Aaron,De'Aaron Fox,Fox,34.53157766241776,19,7300,SAC@LAL,SAC,LAL,,,,,,PG
67626-14503,C,Jonas,Jonas Valanciunas,Valanciunas,40.08999938964844,20,7200,NO@UTA,NO,UTA,,,,,,C
67626-16359,PG/SG,Malcolm,Malcolm Brogdon,Brogdon,38.92666829427083,15,7200,TOR@IND,IND,TOR,,,,,,PG/SG
67626-58253,C/PF,Myles,Myles Turner,Turner,32.61499938964844,20,7100,TOR@IND,IND,TOR,,,,,,PF/C
67626-9663,PG/SG,Jrue,Jrue Holiday,Holiday,30.838461068960335,13,7100,MIL@DEN,MIL,DEN,,,,,,PG/SG
67626-12366,SF/SG,Gordon,Gordon Hayward,Hayward,29.86499938964844,20,7000,MIN@CHA,CHA,MIN,,,,,,SG/SF
67626-84683,PF/C,Jaren,Jaren Jackson,Jackson,30.36111111111111,18,7000,ATL@MEM,MEM,ATL,,,,,,PF/C
67626-58377,SF/PF,Kyle,Kyle Kuzma,Kuzma,29.805555555555557,18,6900,WAS@OKC,WAS,OKC,,,,,,SF/PF
67626-15860,PF/C,Draymond,Draymond Green,Green,31.747059541590072,17,6900,POR@GS,GS,POR,,,,,,PF/C
67626-84675,C,Mo,Mo Bamba,Bamba,32.36842105263158,19,6800,CHI@ORL,ORL,CHI,,,,,,C
67626-55057,C,Jusuf,Jusuf Nurkic,Nurkic,32.27894672594572,19,6800,POR@GS,POR,GS,,,,,,C
67626-23447,C/PF,Richaun,Richaun Holmes,Holmes,30.38333468967014,18,6700,SAC@LAL,SAC,LAL,O,Eye,,,,PF/C
67626-80806,PG,Lonzo,Lonzo Ball,Ball,30.71578818873355,19,6700,CHI@ORL,CHI,ORL,,,,,,PG
67626-49116,SF,Andrew,Andrew Wiggins,Wiggins,28.877777099609375,18,6700,POR@GS,GS,POR,,,,,,SF
67626-15946,SF/PF,Harrison,Harrison Barnes,Barnes,32.64210590563322,19,6600,SAC@LAL,SAC,LAL,O,Foot,,,,SF/PF
67626-84708,PF/C,Robert,Robert Williams,Williams,30.035714285714285,14,6600,BOS@SA,BOS,SA,O,Illness,,,,PF/C
67626-157822,SF/PF,Scottie,Scottie Barnes,Barnes,32.2705867991728,17,6500,TOR@IND,TOR,IND,,,,,,SF/PF
67626-42156,PF/C,Bobby,Bobby Portis,Portis,30.964285714285715,14,6500,MIL@DEN,MIL,DEN,,,,,,PF/C
67626-15542,PG,Spencer,Spencer Dinwiddie,Dinwiddie,29.337499618530273,16,6500,WAS@OKC,WAS,OKC,,,,,,PG
67626-42677,SG/PG,Terry,Terry Rozier,Rozier,29.513334147135417,15,6300,MIN@CHA,CHA,MIN,,,,,,PG/SG
67626-110322,PG/SG,Jordan,Jordan Poole,Poole,28.455556233723957,18,6300,POR@GS,GS,POR,,,,,,PG/SG
67626-157905,SG,Josh,Josh Giddey,Giddey,30.205556233723957,18,6200,WAS@OKC,OKC,WAS,,,,,,SG
67626-40201,PG/SG,Dennis,Dennis Schroder,Schroder,29.93684146278783,19,6100,BOS@SA,BOS,SA,,,,,,PG/SG
67626-145337,PG/SG,Tyrese,Tyrese Haliburton,Haliburton,30.147058823529413,17,6100,SAC@LAL,SAC,LAL,,,,,,PG/SG
67626-145541,PG/SG,R.J.,R.J. Hampton,Hampton,16.11052663702714,19,6000,CHI@ORL,ORL,CHI,,,,,,PG/SG
67626-84721,PF,Jarred,Jarred Vanderbilt,Vanderbilt,21.549999660915798,18,6000,MIN@CHA,MIN,CHA,,,,,,PF
67626-9575,PG,Mike,Mike Conley,Conley,27.125,16,6000,NO@UTA,UTA,NO,,,,,,PG
67626-145334,SG,Desmond,Desmond Bane,Bane,25.344445122612846,18,6000,ATL@MEM,MEM,ATL,,,,,,SG
67626-17333,SG/SF,Will,Will Barton,Barton,31.618749618530273,16,6000,MIL@DEN,DEN,MIL,,,,,,SG/SF
67626-40562,SG/SF,Josh,Josh Hart,Hart,27.693750381469727,16,5900,NO@UTA,NO,UTA,,,,,,SG/SF
67626-12474,PG,Patrick,Patrick Beverley,Beverley,24.5,16,5900,MIN@CHA,MIN,CHA,O,Groin,,,,PG
67626-84682,PF/SF,Michael,Michael Porter,Porter,23.255555894639755,9,5900,MIL@DEN,DEN,MIL,O,Back,,,,SF/PF
67626-58378,C,Jakob,Jakob Poeltl,Poeltl,30.179998779296874,10,5800,BOS@SA,SA,BOS,,,,,,C
67626-41594,PF,Aaron,Aaron Gordon,Gordon,26.255555894639755,18,5800,MIL@DEN,DEN,MIL,,,,,,PF
67626-84695,SG/SF,Gary,Gary Trent,Trent,30.105263157894736,19,5800,TOR@IND,TOR,IND,,,,,,SG/SF
67626-60233,SG/SF,Dillon,Dillon Brooks,Brooks,28.360000610351562,5,5800,ATL@MEM,MEM,ATL,,,,,,SG/SF
67626-16448,PF/C,Frank,Frank Kaminsky,Kaminsky,22.63333299424913,9,5700,PHO@NY,PHO,NY,O,Knee,,,,PF/C
67626-20640,PG/SG,Jordan,Jordan Clarkson,Clarkson,23.377777099609375,18,5700,NO@UTA,UTA,NO,,,,,,PG/SG
67626-23798,SG/SF,Caris,Caris LeVert,LeVert,24.566665649414062,12,5700,TOR@IND,IND,TOR,,,,,,SG/SF
67626-110357,SF/SG,RJ,RJ Barrett,Barrett,26.13888888888889,18,5700,PHO@NY,NY,PHO,,,,,,SG/SF
67626-9621,C,Brook,Brook Lopez,Lopez,26,1,5700,MIL@DEN,MIL,DEN,O,Back,,,,C
67626-16293,SF/SG,Norman,Norman Powell,Powell,25.564706241383274,17,5700,POR@GS,POR,GS,,,,,,SG/SF
67626-18393,PG/SG,T.J.,T.J. McConnell,McConnell,23.914999389648436,20,5700,TOR@IND,IND,TOR,,,,,,PG/SG
67626-23670,SG/PG,Marcus,Marcus Smart,Smart,29.261111789279514,18,5600,BOS@SA,BOS,SA,,,,,,PG/SG
67626-157850,PG/SG,Jalen,Jalen Suggs,Suggs,22.355555216471355,18,5600,CHI@ORL,ORL,CHI,,,,,,PG/SG
67626-84706,PG/SG,Devonte',Devonte' Graham,Graham,27.311763987821692,17,5600,NO@UTA,NO,UTA,,,,,,PG/SG
67626-145324,SG,Devin,Devin Vassell,Vassell,24.100000718060663,17,5600,BOS@SA,SA,BOS,O,Quadriceps,,,,SG
67626-20491,PF/SF,Robert,Robert Covington,Covington,19.457895379317435,19,5500,POR@GS,POR,GS,,,,,,SF/PF
67626-49675,PG,Derrick,Derrick White,White,27.376470229204962,17,5500,BOS@SA,SA,BOS,,,,,,PG
67626-84676,PF/C,Wendell,Wendell Carter,Carter,29.531577662417764,19,5500,CHI@ORL,ORL,CHI,,,,,,PF/C
67626-23169,C,Steven,Steven Adams,Adams,24.066667344835068,18,5400,ATL@MEM,MEM,ATL,,,,,,C
67626-157830,PF,Jeremiah,Jeremiah Robinson-Earl,Robinson-Earl,17.533333672417534,18,5400,WAS@OKC,OKC,WAS,,,,,,PF
67626-111273,SF/SG,Luguentz,Luguentz Dort,Dort,26.470588235294116,17,5400,WAS@OKC,OKC,WAS,,,,,,SG/SF
67626-23981,PG/SG,Alex,Alex Caruso,Caruso,25.255555894639755,18,5400,CHI@ORL,CHI,ORL,,,,,,PG/SG
67626-9739,C,JaVale,JaVale McGee,McGee,22.077777438693577,18,5300,PHO@NY,PHO,NY,,,,,,C
67626-23665,SG/SF,Buddy,Buddy Hield,Hield,26.24210558439556,19,5300,SAC@LAL,SAC,LAL,,,,,,SG/SF
67626-84704,SG/SF,Kevin,Kevin Huerter,Huerter,17.944444444444443,18,5300,ATL@MEM,ATL,MEM,,,,,,SG/SF
67626-84709,C,Mitchell,Mitchell Robinson,Robinson,22.986665852864583,15,5300,PHO@NY,NY,PHO,GTD,Concussion,,,,C
67626-110347,PF/SF,Keldon,Keldon Johnson,Johnson,27.53529447667739,17,5300,BOS@SA,SA,BOS,,,,,,SF/PF
67626-110356,SG/SF,Nickeil,Nickeil Alexander-Walker,Alexander-Walker,26.695001220703126,20,5300,NO@UTA,NO,UTA,,,,,,SG/SF
67626-9648,PF/SF,Jeff,Jeff Green,Green,14.900000678168404,18,5300,MIL@DEN,DEN,MIL,,,,,,SF/PF
67626-15993,SG/SF,Pat,Pat Connaughton,Connaughton,23.12631546823602,19,5200,MIL@DEN,MIL,DEN,,,,,,SG/SF
67626-15590,C,Mason,Mason Plumlee,Plumlee,23.975,20,5200,MIN@CHA,CHA,MIN,GTD,Calf,,,,C
67626-110349,SF/PF,Rui,Rui Hachimura,Hachimura,24.020313262939453,64,5200,WAS@OKC,WAS,OKC,,,,,,SF/PF
67626-9508,SF/PF,Carmelo,Carmelo Anthony,Anthony,24.485000610351562,20,5200,SAC@LAL,LAL,SAC,,,,,,SF/PF
67626-20992,PF/SF,Larry,Larry Nance,Nance,17.61579011615954,19,5100,POR@GS,POR,GS,,,,,,SF/PF
67626-110637,PF/SF,Darius,Darius Bazley,Bazley,24.166666666666668,18,5100,WAS@OKC,OKC,WAS,,,,,,SF/PF
67626-157851,SF/SG,Franz,Franz Wagner,Wagner,24.17894704718339,19,5100,CHI@ORL,ORL,CHI,,,,,,SG/SF
67626-110337,SG/SF,Talen,Talen Horton-Tucker,Horton-Tucker,25.74285670689174,7,5100,SAC@LAL,LAL,SAC,,,,,,SG/SF
67626-14507,PG,Kemba,Kemba Walker,Walker,21.829412123736212,17,5000,PHO@NY,NY,PHO,,,,,,PG
67626-14510,SG/SF,Alec,Alec Burks,Burks,20.200000339084202,18,5000,PHO@NY,NY,PHO,,,,,,SG/SF
67626-84670,SF/PF,Mikal,Mikal Bridges,Bridges,24.705556233723957,18,5000,PHO@NY,PHO,NY,,,,,,SF/PF
67626-14530,SF/PF,Bojan,Bojan Bogdanovic,Bogdanovic,24.855555216471355,18,5000,NO@UTA,UTA,NO,,,,,,SF/PF
67626-58153,SF/SG,Kelly,Kelly Oubre,Oubre,22.089999389648437,20,5000,MIN@CHA,CHA,MIN,,,,,,SG/SF
67626-145314,PF/C,Precious,Precious Achiuwa,Achiuwa,23,16,5000,TOR@IND,TOR,IND,,,,,,PF/C
67626-23096,SF/SG,Evan,Evan Fournier,Fournier,21.394444783528645,18,4900,PHO@NY,NY,PHO,,,,,,SG/SF
67626-68203,C/PF,Chris,Chris Boucher,Boucher,14.599999321831596,18,4900,TOR@IND,TOR,IND,,,,,,PF/C
67626-157828,SF,Chris,Chris Duarte,Duarte,22.77777777777778,18,4900,TOR@IND,IND,TOR,,,,,,SF
67626-14509,SG,Klay,Klay Thompson,Thompson,,,4900,POR@GS,GS,POR,O,Achilles,,,,SG
67626-15636,SG/SF,Kentavious,Kentavious Caldwell-Pope,Caldwell-Pope,20.566667344835068,18,4900,WAS@OKC,WAS,OKC,,,,,,SG/SF
67626-110325,C,Daniel,Daniel Gafford,Gafford,21.25333251953125,15,4800,WAS@OKC,WAS,OKC,,,,,,C
67626-110353,PF,Brandon,Brandon Clarke,Clarke,17.866666666666667,15,4800,ATL@MEM,MEM,ATL,,,,,,PF
67626-23825,C,Nerlens,Nerlens Noel,Noel,22,7,4800,PHO@NY,NY,PHO,,,,,,C
67626-55060,SF/SG,Bogdan,Bogdan Bogdanovic,Bogdanovic,21.922222561306423,18,4800,ATL@MEM,ATL,MEM,GTD,Hamstring,,,,SG/SF
67626-80811,SF/PF,Jonathan,Jonathan Isaac,Isaac,,,4800,CHI@ORL,ORL,CHI,O,Knee,,,,SF/PF
67626-48567,PG/SG,Cameron,Cameron Payne,Payne,17.830769465519833,13,4800,PHO@NY,PHO,NY,,,,,,PG/SG
67626-15800,PF/SF,Jae,Jae Crowder,Crowder,21.172222561306423,18,4800,PHO@NY,PHO,NY,,,,,,SF/PF
67626-97263,C/PF,Drew,Drew Eubanks,Eubanks,17.647058823529413,17,4800,BOS@SA,SA,BOS,,,,,,PF/C
67626-23716,SF/PF,Kyle,Kyle Anderson,Anderson,21.494444105360245,18,4700,ATL@MEM,MEM,ATL,,,,,,SF/PF
67626-84681,SG,Donte,Donte DiVincenzo,DiVincenzo,24.163768823596016,69,4700,MIL@DEN,MIL,DEN,O,Ankle,,,,SG
67626-16081,C/PF,Khem,Khem Birch,Birch,19.533333333333335,15,4700,TOR@IND,TOR,IND,O,Knee,,,,PF/C
67626-84711,SG,Grayson,Grayson Allen,Allen,23.221053274054277,19,4700,MIL@DEN,MIL,DEN,,,,,,SG
67626-110339,SG/SF,Cam,Cam Reddish,Reddish,19.11052663702714,19,4700,ATL@MEM,ATL,MEM,,,,,,SG/SF
67626-110351,SG,Cody,Cody Martin,Martin,21.605000305175782,20,4700,MIN@CHA,CHA,MIN,,,,,,SG
67626-110352,PF/C,P.J.,P.J. Washington,Washington,18.924999237060547,8,4700,MIN@CHA,CHA,MIN,,,,,,PF/C
67626-18256,PF/SF,Doug,Doug McDermott,McDermott,14.699999491373697,12,4700,BOS@SA,SA,BOS,O,Knee,,,,SF/PF
67626-18338,SF/PF,Royce,Royce O'Neale,O'Neale,22.577777438693577,18,4700,NO@UTA,UTA,NO,GTD,Foot,,,,SF/PF
67626-9673,PG,Goran,Goran Dragic,Dragic,17.460000610351564,5,4700,TOR@IND,TOR,IND,,,,,,PG
67626-40396,PG,Monte,Monte Morris,Morris,21.922222561306423,18,4700,MIL@DEN,DEN,MIL,,,,,,PG
67626-12363,C,Hassan,Hassan Whiteside,Whiteside,19.700000339084202,18,4600,NO@UTA,UTA,NO,,,,,,C
67626-84703,SG/PG,De'Anthony,De'Anthony Melton,Melton,23.766666666666666,15,4600,ATL@MEM,MEM,ATL,GTD,Groin,,,,PG/SG
67626-9475,PG/SG,Derrick,Derrick Rose,Rose,23.876470229204962,17,4600,PHO@NY,NY,PHO,GTD,Ankle,,,,PG/SG
