,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
0,68149-40199,PF/SF,Giannis,Giannis Antetokounmpo,Antetokounmpo,47.4,21.0,11000,CLE@MIL,MIL,CLE,GTD,Calf,,,,SF/PF
1,68149-55062,C,Nikola,Nikola Jokic,Jokic,54.3,17.0,10900,DEN@CHI,DEN,CHI,,,,,,C
2,68149-9524,PG,Stephen,Stephen Curry,Curry,46.1,22.0,10700,ORL@GS,GS,ORL,,,,,,PG
3,68149-49111,C,Joel,Joel Embiid,Embiid,49.0,13.0,10400,PHI@CHA,PHI,CHA,,,,,,C
4,68149-67708,PG/SG,Dejounte,Dejounte Murray,Murray,40.5,21.0,9900,SA@PHO,SA,PHO,,,,,,PG/SG
5,68149-84671,PG,Trae,Trae Young,Young,45.1,24.0,9800,ATL@MIN,ATL,MIN,,,,,,PG
7,68149-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,43.4,22.0,9300,ATL@MIN,MIN,ATL,GTD,Back,,,,C
8,68149-14514,C,Nikola,Nikola Vucevic,Vucevic,39.5,17.0,9000,DEN@CHI,CHI,DEN,,,,,,C
10,68149-12341,SG/SF,Paul,Paul George,George,42.3,23.0,8900,LAC@POR,LAC,POR,,,,,,SG/SF
11,68149-14528,SF/SG,Jimmy,Jimmy Butler,Butler,47.8,17.0,8800,MEM@MIA,MIA,MEM,GTD,Back,,,,SG/SF
12,68149-80821,C/PF,Jarrett,Jarrett Allen,Allen,35.8,21.0,8700,CLE@MIL,CLE,MIL,,,,,,PF/C
13,68149-40783,SG/PG,Zach,Zach LaVine,LaVine,39.1,24.0,8600,DEN@CHI,CHI,DEN,,,,,,PG/SG
14,68149-15595,SG,Bradley,Bradley Beal,Beal,38.8,21.0,8500,WAS@IND,WAS,IND,,,,,,SG
16,68149-9714,SG/SF,DeMar,DeMar DeRozan,DeRozan,42.0,24.0,8500,DEN@CHI,CHI,DEN,,,,,,SG/SF
17,68149-84678,SF,Miles,Miles Bridges,Bridges,38.5,25.0,8400,PHI@CHA,CHA,PHI,,,,,,SF
18,68149-9623,PG,Chris,Chris Paul,Paul,40.0,23.0,8400,SA@PHO,PHO,SA,,,,,,PG
19,68149-58312,SG/PG,D'Angelo,D'Angelo Russell,Russell,35.9,21.0,8400,ATL@MIN,MIN,ATL,GTD,Ankle,,,,PG/SG
20,68149-145321,SF/SG,Anthony,Anthony Edwards,Edwards,32.3,23.0,8300,ATL@MIN,MIN,ATL,,,,,,SG/SF
21,68149-59358,PF/C,Domantas,Domantas Sabonis,Sabonis,40.8,25.0,8300,WAS@IND,IND,WAS,,,,,,PF/C
22,68149-55059,C,Clint,Clint Capela,Capela,35.9,24.0,8200,ATL@MIN,ATL,MIN,,,,,,C
23,68149-145327,PG/SG,Cole,Cole Anthony,Anthony,35.8,18.0,8200,ORL@GS,ORL,GS,,,,,,PG/SG
25,68149-84680,SG/PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,35.2,19.0,7900,OKC@DET,OKC,DET,,,,,,PG/SG
27,68149-9663,PG/SG,Jrue,Jrue Holiday,Holiday,34.0,18.0,7800,CLE@MIL,MIL,CLE,,,,,,PG/SG
29,68149-84673,C,Deandre,Deandre Ayton,Ayton,39.4,17.0,7700,SA@PHO,PHO,SA,,,,,,C
30,68149-23831,PF,Jerami,Jerami Grant,Grant,35.2,21.0,7700,OKC@DET,DET,OKC,,,,,,PF
32,68149-16359,PG/SG,Malcolm,Malcolm Brogdon,Brogdon,38.1,20.0,7700,WAS@IND,IND,WAS,,,,,,PG/SG
34,68149-157845,C/PF,Evan,Evan Mobley,Mobley,33.4,20.0,7600,CLE@MIL,CLE,MIL,,,,,,PF/C
35,68149-14518,PF/SF,Tobias,Tobias Harris,Harris,33.6,14.0,7600,PHI@CHA,PHI,CHA,GTD,Illness,,,,SF/PF
36,68149-66236,PF/C,John,John Collins,Collins,34.2,24.0,7600,ATL@MIN,ATL,MIN,,,,,,PF/C
37,68149-16261,SF/SG,Khris,Khris Middleton,Middleton,34.0,16.0,7500,CLE@MIL,MIL,CLE,,,,,,SG/SF
38,68149-110312,SG/SF,Tyler,Tyler Herro,Herro,32.3,21.0,7400,MEM@MIA,MIA,MEM,,,,,,SG/SF
39,68149-110342,SG/PG,Darius,Darius Garland,Garland,34.5,22.0,7400,CLE@MIL,CLE,MIL,,,,,,PG/SG
40,68149-84675,C,Mo,Mo Bamba,Bamba,37.2,23.0,7300,ORL@GS,ORL,GS,,,,,,C
41,68149-49675,PG,Derrick,Derrick White,White,29.6,21.0,7200,SA@PHO,SA,PHO,,,,,,PG
42,68149-12366,SF/SG,Gordon,Gordon Hayward,Hayward,34.0,25.0,7200,PHI@CHA,CHA,PHI,,,,,,SG/SF
43,68149-84683,PF/C,Jaren,Jaren Jackson,Jackson,34.5,23.0,7100,MEM@MIA,MEM,MIA,,,,,,PF/C
44,68149-15860,PF/C,Draymond,Draymond Green,Green,33.7,22.0,6900,ORL@GS,GS,ORL,,,,,,PF/C
45,68149-157808,PG/SG,Cade,Cade Cunningham,Cunningham,33.6,17.0,6800,OKC@DET,DET,OKC,,,,,,PG/SG
46,68149-42156,PF/C,Bobby,Bobby Portis,Portis,32.9,19.0,6800,CLE@MIL,MIL,CLE,,,,,,PF/C
47,68149-9535,PG,Kyle,Kyle Lowry,Lowry,33.5,22.0,6700,MEM@MIA,MIA,MEM,,,,,,PG
48,68149-58253,C/PF,Myles,Myles Turner,Turner,34.1,24.0,6700,WAS@IND,IND,WAS,,,,,,PF/C
49,68149-110322,PG/SG,Jordan,Jordan Poole,Poole,28.9,23.0,6600,ORL@GS,GS,ORL,,,,,,PG/SG
50,68149-55057,C,Jusuf,Jusuf Nurkic,Nurkic,36.0,24.0,6600,LAC@POR,POR,LAC,,,,,,C
