,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
0,65396-55062,C,Nikola,Nikola Jokic,Jokic,54.7,83.0,11400,DEN@PHO,DEN,PHO,,,,,,C
1,65396-49111,C,Joel,Joel Embiid,Embiid,50.3,62.0,11000,PHI@NO,PHI,NO,,,,,,C
2,65396-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,47.7,50.0,10800,HOU@MIN,MIN,HOU,,,,,,C
3,65396-80808,SF/PF,Jayson,Jayson Tatum,Tatum,44.7,71.0,10200,BOS@NY,BOS,NY,,,,,,SF/PF
4,65396-20848,PG,Damian,Damian Lillard,Lillard,47.5,74.0,10000,SAC@POR,POR,SAC,,,,,,PG
5,65396-59358,PF/C,Domantas,Domantas Sabonis,Sabonis,46.0,65.0,9700,IND@CHA,IND,CHA,,,,,,PF/C
6,65396-15595,SG/PG,Bradley,Bradley Beal,Beal,42.0,68.0,9400,WAS@TOR,WAS,TOR,,,,,,PG/SG
7,65396-14514,C,Nikola,Nikola Vucevic,Vucevic,43.9,71.0,9200,CHI@DET,CHI,DET,,,,,,C
8,65396-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,39.7,64.0,9000,OKC@UTA,UTA,OKC,,,,,,PG/SG
9,65396-24247,SG/PG,Fred,Fred VanVleet,VanVleet,39.2,52.0,8800,WAS@TOR,TOR,WAS,,,,,,PG/SG
10,65396-23798,SG/PG,Caris,Caris LeVert,LeVert,0.0,47.0,8700,IND@CHA,IND,CHA,O,Back,,,,PG/SG
11,65396-42669,PF/C,Julius,Julius Randle,Randle,46.6,77.0,8600,BOS@NY,NY,BOS,,,,,,PF/C
12,65396-60021,PF,Pascal,Pascal Siakam,Siakam,,56.0,8500,WAS@TOR,TOR,WAS,O,Shoulder,,,,PF
13,65396-80810,PG,De'Aaron,De'Aaron Fox,Fox,44.1,58.0,8500,SAC@POR,SAC,POR,,,,,,PG
14,65396-66048,SF,Brandon,Brandon Ingram,Ingram,37.0,61.0,8400,PHI@NO,NO,PHI,,,,,,SF
15,65396-110310,PF,Zion,Zion Williamson,Williamson,,62.0,8300,PHI@NO,NO,PHI,O,Foot,,,,PF
16,65396-42202,PF/C,Christian,Christian Wood,Wood,39.6,41.0,8200,HOU@MIN,HOU,MIN,,,,,,PF/C
17,65396-110344,PG,Ja,Ja Morant,Morant,40.0,70.0,8200,CLE@MEM,MEM,CLE,,,,,,PG
18,65396-40783,SG/PG,Zach,Zach LaVine,LaVine,37.4,59.0,8200,CHI@DET,CHI,DET,,,,,,PG/SG
