Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
65396-55062,C,Nikola,Nikola Jokic,Jokic,54.5,83,11400,DEN@PHO,DEN,PHO,,,,,,C
65396-49111,C,Joel,Joel Embiid,Embiid,50.5,62,11000,PHI@NO,PHI,NO,,,,,,C
65396-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,47.6,50,10800,HOU@MIN,MIN,HOU,,,,,,C
65396-80808,SF/PF,Jayson,Jayson Tatum,Tatum,44.4,71,10200,BOS@NY,BOS,NY,,,,,,SF/PF
65396-20848,PG,Damian,Damian Lillard,Lillard,47.5,74,10000,SAC@POR,POR,SAC,,,,,,PG
65396-59358,PF/C,Domantas,Domantas Sabonis,Sabonis,46.2,65,9700,IND@CHA,IND,CHA,,,,,,PF/C
65396-15595,SG/PG,Bradley,Bradley Beal,Beal,42,68,9400,WAS@TOR,WAS,TOR,,,,,,PG/SG
65396-14514,C,Nikola,Nikola Vucevic,Vucevic,43.9,71,9200,CHI@DET,CHI,DET,,,,,,C
65396-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,39.7,64,9000,OKC@UTA,UTA,OKC,,,,,,PG/SG
65396-24247,SG/PG,Fred,Fred VanVleet,VanVleet,39.2,52,8800,WAS@TOR,TOR,WAS,,,,,,PG/SG
65396-23798,SG/PG,Caris,Caris LeVert,LeVert,37.4106393367686,47,8700,IND@CHA,IND,CHA,O,Back,,,,PG/SG
65396-42669,PF/C,Julius,Julius Randle,Randle,46.3,77,8600,BOS@NY,NY,BOS,,,,,,PF/C
65396-60021,PF,Pascal,Pascal Siakam,Siakam,39.8214285714286,56,8500,WAS@TOR,TOR,WAS,O,Shoulder,,,,PF
65396-80810,PG,De'Aaron,De'Aaron Fox,Fox,44.1,58,8500,SAC@POR,SAC,POR,,,,,,PG
65396-66048,SF,Brandon,Brandon Ingram,Ingram,37.1,61,8400,PHI@NO,NO,PHI,,,,,,SF
65396-110310,PF,Zion,Zion Williamson,Williamson,42.6999984248992,62,8300,PHI@NO,NO,PHI,O,Foot,,,,PF
65396-42202,PF/C,Christian,Christian Wood,Wood,40.1,41,8200,HOU@MIN,HOU,MIN,,,,,,PF/C
