PG,PG,SG,SG,SF,SF,PF,PF,C
65396-157850,65396-145485,65396-49675,65396-145331,65396-110345,65396-14518,65396-12351,65396-42669,65396-55062
65396-80810,65396-110345,65396-49675,65396-145331,65396-145819,65396-14518,65396-12351,65396-42669,65396-55062
65396-58312,65396-145485,65396-49675,65396-145331,65396-9556,65396-110345,65396-12351,65396-42669,65396-55062
65396-110345,65396-145485,65396-15542,65396-145331,65396-145819,65396-14518,65396-12351,65396-42669,65396-55062
65396-157850,65396-145485,65396-58312,65396-145331,65396-58153,65396-110345,65396-12351,65396-42669,65396-55062
65396-84703,65396-145485,65396-49675,65396-145331,65396-110345,65396-14518,65396-12351,65396-42669,65396-55062
65396-80810,65396-157850,65396-9556,65396-145331,65396-110345,65396-14518,65396-12351,65396-42669,65396-55062
65396-58312,65396-157850,65396-49675,65396-145331,65396-110345,65396-14518,65396-12351,65396-42669,65396-55062
65396-49675,65396-145485,65396-9556,65396-145331,65396-110345,65396-14518,65396-12351,65396-42669,65396-55062
65396-80810,65396-145485,65396-58312,65396-145331,65396-110345,65396-14518,65396-12351,65396-42669,65396-84709
65396-80810,65396-145485,65396-58312,65396-49675,65396-110345,65396-14518,65396-12351,65396-157845,65396-42669
65396-80810,65396-145485,65396-58312,65396-145331,65396-110345,65396-14518,65396-12351,65396-42669,65396-84676
65396-80810,65396-145485,65396-58312,65396-15542,65396-110345,65396-14518,65396-12351,65396-42669,65396-23776
65396-80810,65396-145485,65396-58312,65396-145331,65396-110345,65396-145819,65396-12351,65396-42669,65396-14514
65396-80810,65396-145485,65396-49675,65396-145331,65396-58153,65396-110345,65396-12351,65396-59358,65396-42669
65396-80810,65396-157850,65396-58312,65396-145331,65396-110345,65396-16405,65396-12351,65396-42669,65396-55062
65396-80810,65396-145485,65396-9556,65396-145331,65396-110345,65396-16405,65396-12351,65396-42669,65396-55062
65396-157850,65396-145485,65396-157907,65396-145331,65396-110345,65396-14518,65396-12351,65396-42669,65396-55062
65396-80810,65396-145485,65396-58312,65396-145331,65396-110345,65396-14518,65396-12351,65396-145307,65396-42669
65396-80810,65396-145485,65396-145327,65396-145331,65396-110345,65396-145819,65396-12351,65396-42669,65396-55062
