Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
65214-6498,QB,Tom,Tom Brady,Brady,27.25599975585937,5.0,16500,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-69531,QB,Jalen,Jalen Hurts,Hurts,25.03999938964844,5.0,15500,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-32384,WR,Mike,Mike Evans,Evans,15.560000610351562,5.0,13500,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-55635,WR,Chris,Chris Godwin,Godwin,13.460000610351562,5.0,13000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-90576,WR,DeVonta,DeVonta Smith,Smith,9.980000305175782,5.0,12000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-11612,WR,Antonio,Antonio Brown,Brown,15.274999618530272,4.0,11500,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-52922,RB,Leonard,Leonard Fournette,Fournette,11.45999984741211,5.0,11000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-71845,RB,Miles,Miles Sanders,Sanders,8.5,5.0,10000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-6767,K,Ryan,Ryan Succop,Succop,8.8,5.0,9000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,8.640000152587891,5.0,8500,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-41235,K,Jake,Jake Elliott,Elliott,7.0,5.0,8000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-94625,WR,Jalen,Jalen Reagor,Reagor,5.94000015258789,5.0,7500,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-63591,RB,Ronald,Ronald Jones II,Jones II,3.4400001525878907,5.0,7500,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-25290,RB,Giovani,Giovani Bernard,Bernard,7.724999904632568,4.0,7000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-73687,WR,Quez,Quez Watkins,Watkins,6.64000015258789,5.0,7000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-29780,TE,Zach,Zach Ertz,Ertz,5.8,5.0,6500,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-54782,TE,Cameron,Cameron Brate,Brate,3.0999999046325684,4.0,6500,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-68712,WR,Tyler,Tyler Johnson,Johnson,2.9,5.0,6000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-40434,WR,Greg,Greg Ward,Ward,5.333333333333333,3.0,6000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-39286,TE,O.J.,O.J. Howard,Howard,1.774999976158142,4.0,6000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-43433,RB,Boston,Boston Scott,Scott,1.5,1.0,5500,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-68155,TE,Codey,Codey McElroy,McElroy,0.25,2.0,5500,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-41221,WR,Andre,Andre Patton,Patton,0.0,2.0,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-83083,WR,Justin,Justin Watson,Watson,2.5799999237060547,5.0,5000,TB@PHI,TB,PHI,,Knee,,,,MVP - 1.5X Points/AnyFLEX
65214-64907,WR,JJ,JJ Arcega-Whiteside,Arcega-Whiteside,3.7,5.0,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-69518,WR,T.J.,T.J. Simmons Jr.,Simmons Jr.,,,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-42142,RB,Jordan,Jordan Howard,Howard,3.775000095367432,8.0,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-64926,WR,Michael,Michael Jacquet III,Jacquet III,0.0,1.0,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-29985,WR,Jaydon,Jaydon Mickens,Mickens,0.0,4.0,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-47788,TE,Deon,Deon Yelder,Yelder,1.1833333174387617,6.0,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-64175,WR,Hakeem,Hakeem Butler,Butler,0.0,2.0,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-79920,WR,Cyril,Cyril Grayson,Grayson,0.0,2.0,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-73147,TE,Nick,Nick Eubanks,Eubanks,,,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-92093,WR,Jaelon,Jaelon Darden,Darden,0.5,1.0,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-30654,TE,Jerell,Jerell Adams,Adams,0.0,1.0,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-70206,RB,Jason,Jason Huntley,Huntley,0.4800000190734863,5.0,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-33472,RB,C.J.,C.J. Prosise,Prosise,2.039999961853028,5.0,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-86472,WR,John,John Hightower,Hightower,2.3799999237060545,10.0,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-69451,TE,Jack,Jack Stoll,Stoll,0.0,1.0,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-130265,WR,John,John Hurst,Hurst,,,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-21980,WR,Alshon,Alshon Jeffery,Jeffery,2.5625,8.0,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-130268,WR,Josh,Josh Pearson,Pearson,,,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-66402,TE,Jack,Jack Driscoll,Driscoll,0.0,1.0,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-63078,RB,Ke'Shawn,Ke'Shawn Vaughn,Vaughn,2.9857142312186107,7.0,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-94453,RB,Darwin,Darwin Thompson,Thompson,5.94000015258789,5.0,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-57208,WR,KeeSean,KeeSean Johnson,Johnson,2.4799999237060546,10.0,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
