MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,
65214-6498,65214-11612,65214-94453,65214-69531,65214-52922,,1) Create a lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
65214-6498,65214-11612,65214-25290,65214-69531,65214-6767,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
65214-6498,65214-11612,65214-25290,65214-69531,65214-90912,,3) Any information to the right of the last position column will be ignored in the upload,,,,,,,,,,,,,,,,,
65214-69531,65214-11612,65214-94453,65214-52922,65214-6498,,4) Maximum of 250 lineups per upload,,,,,,,,,,,,,,,,,
65214-6498,65214-11612,65214-41235,65214-69531,65214-90912,,,,,,,,,,,,,,,,,,,
65214-6498,65214-11612,65214-69531,65214-73687,65214-6767,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
65214-69531,65214-11612,65214-25290,65214-6767,65214-6498,,65214-6498:Tom Brady,65214-6498,QB,Tom,Tom Brady,Brady,27.2559997558594,5,16500,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-6498,65214-11612,65214-69531,65214-90912,65214-73687,,65214-69531:Jalen Hurts,65214-69531,QB,Jalen,Jalen Hurts,Hurts,25.0399993896484,5,15500,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-69531,65214-11612,65214-25290,65214-90912,65214-6498,,65214-32384:Mike Evans,65214-32384,WR,Mike,Mike Evans,Evans,15.5600006103516,5,13500,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-6498,65214-11612,65214-69531,65214-42142,65214-52922,,65214-55635:Chris Godwin,65214-55635,WR,Chris,Chris Godwin,Godwin,13.4600006103516,5,13000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-6498,65214-11612,65214-64907,65214-69531,65214-52922,,65214-90576:DeVonta Smith,65214-90576,WR,DeVonta,DeVonta Smith,Smith,9.98000030517578,5,12000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-6498,65214-94453,65214-69531,65214-32384,65214-6767,,65214-11612:Antonio Brown,65214-11612,WR,Antonio,Antonio Brown,Brown,15.2749996185303,4,11500,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-6498,65214-94453,65214-69531,65214-90912,65214-32384,,65214-52922:Leonard Fournette,65214-52922,RB,Leonard,Leonard Fournette,Fournette,11.4599998474121,5,11000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-6498,65214-11612,65214-94453,65214-69531,65214-6767,,65214-71845:Miles Sanders,65214-71845,RB,Miles,Miles Sanders,Sanders,8.5,5,10000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-6498,65214-11612,65214-69531,65214-94625,65214-6767,,65214-11460:Rob Gronkowski,65214-11460,TE,Rob,Rob Gronkowski,Gronkowski,16.8000005086263,3,10000,TB@PHI,TB,PHI,O,Ribs,,,,MVP - 1.5X Points/AnyFLEX
65214-6498,65214-11612,65214-25290,65214-41235,65214-69531,,65214-83074:Dallas Goedert,65214-83074,TE,Dallas,Dallas Goedert,Goedert,8.21999969482422,5,9500,TB@PHI,PHI,TB,IR,Illness,,,,MVP - 1.5X Points/AnyFLEX
65214-6498,65214-25290,65214-69531,65214-32384,65214-73687,,65214-6767:Ryan Succop,65214-6767,K,Ryan,Ryan Succop,Succop,8.8,5,9000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-6498,65214-11612,65214-69531,65214-6767,65214-29780,,65214-90912:Kenneth Gainwell,65214-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,8.64000015258789,5,8500,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-6498,65214-11612,65214-94453,65214-69531,65214-90912,,65214-41235:Jake Elliott,65214-41235,K,Jake,Jake Elliott,Elliott,7,5,8000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-6498,65214-11612,65214-69531,65214-94625,65214-90912,,65214-94625:Jalen Reagor,65214-94625,WR,Jalen,Jalen Reagor,Reagor,5.94000015258789,5,7500,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-63591:Ronald Jones II,65214-63591,RB,Ronald,Ronald Jones II,Jones II,3.44000015258789,5,7500,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-25290:Giovani Bernard,65214-25290,RB,Giovani,Giovani Bernard,Bernard,7.72499990463257,4,7000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-73687:Quez Watkins,65214-73687,WR,Quez,Quez Watkins,Watkins,6.64000015258789,5,7000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-29780:Zach Ertz,65214-29780,TE,Zach,Zach Ertz,Ertz,5.8,5,6500,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
