Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
65214-6498,QB,Tom,Tom Brady,Brady,22.35,5,16500,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-69531,QB,Jalen,Jalen Hurts,Hurts,22.09,5,15500,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-32384,WR,Mike,Mike Evans,Evans,13.15,5,13500,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-55635,WR,Chris,Chris Godwin,Godwin,12.95,5,13000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-90576,WR,DeVonta,DeVonta Smith,Smith,11.69,5,12000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-11612,WR,Antonio,Antonio Brown,Brown,12.71,4,11500,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-52922,RB,Leonard,Leonard Fournette,Fournette,14.36,5,11000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-71845,RB,Miles,Miles Sanders,Sanders,10.75,5,10000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-11460,TE,Rob,Rob Gronkowski,Gronkowski,0,3,10000,TB@PHI,TB,PHI,O,Ribs,,,,MVP - 1.5X Points/AnyFLEX
65214-83074,TE,Dallas,Dallas Goedert,Goedert,0,5,9500,TB@PHI,PHI,TB,IR,Illness,,,,MVP - 1.5X Points/AnyFLEX
65214-6767,K,Ryan,Ryan Succop,Succop,7.9,5,9000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,6.87,5,8500,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-41235,K,Jake,Jake Elliott,Elliott,7.9,5,8000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-94625,WR,Jalen,Jalen Reagor,Reagor,7.74,5,7500,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-63591,RB,Ronald,Ronald Jones II,Jones II,4.55,5,7500,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-25290,RB,Giovani,Giovani Bernard,Bernard,4.47,4,7000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-73687,WR,Quez,Quez Watkins,Watkins,7.3,5,7000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-29780,TE,Zach,Zach Ertz,Ertz,7.73,5,6500,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-61273,WR,Scotty,Scotty Miller,Miller,0,2,6500,TB@PHI,TB,PHI,IR,Toe,,,,MVP - 1.5X Points/AnyFLEX
65214-54782,TE,Cameron,Cameron Brate,Brate,5.3,4,6500,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-68712,WR,Tyler,Tyler Johnson,Johnson,2.9,5,6000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-40434,WR,Greg,Greg Ward,Ward,1.9,3,6000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-39286,TE,O.J.,O.J. Howard,Howard,4.03,4,6000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
65214-43433,RB,Boston,Boston Scott,Scott,0.029,1,5500,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
65214-68155,TE,Codey,Codey McElroy,McElroy,0,2,5500,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
