MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,
65439-62239,65439-22288,65439-21948,65439-25079,65439-65128,,1) Create a lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
65439-21948,65439-64585,65439-11505,65439-62239,65439-70027,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
65439-25079,65439-39280,65439-70603,65439-14190,65439-22100,,3) Any information to the right of the last position column will be ignored in the upload,,,,,,,,,,,,,,,,,
65439-62239,65439-80294,65439-22288,65439-39280,65439-21948,,4) Maximum of 250 lineups per upload,,,,,,,,,,,,,,,,,
65439-21948,65439-11505,65439-62239,65439-65128,65439-70027,,,,,,,,,,,,,,,,,,,
65439-62239,65439-22288,65439-64585,65439-21948,65439-25079,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
65439-21948,65439-11505,65439-62239,65439-22100,65439-70027,,65439-62239:Josh Allen,65439-62239,QB,Josh,Josh Allen,Allen,25.9200012207031,5,17000,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
65439-62239,65439-11505,65439-21948,65439-65128,65439-70027,,65439-39280:Derrick Henry,65439-39280,RB,Derrick,Derrick Henry,Henry,25.5,5,15500,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
65439-21948,65439-22288,65439-62239,65439-25079,65439-65128,,65439-21948:Ryan Tannehill,65439-21948,QB,Ryan,Ryan Tannehill,Tannehill,17.2080001831055,5,14000,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
65439-62239,65439-22288,65439-22100,65439-21948,65439-25079,,65439-25079:Stefon Diggs,65439-25079,WR,Stefon,Stefon Diggs,Diggs,11.4800003051758,5,12500,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
65439-39280,65439-11505,65439-62239,65439-22100,65439-70027,,65439-72846:A.J. Brown,65439-72846,WR,A.J.,A.J. Brown,Brown,6.07499980926514,4,11500,BUF@TEN,TEN,BUF,Q,Illness,,,,MVP - 1.5X Points/AnyFLEX
65439-62239,65439-22288,65439-39280,65439-32235,65439-21948,,65439-14190:Julio Jones,65439-14190,WR,Julio,Julio Jones,Jones,8.79999987284342,3,11000,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
65439-21948,65439-70603,65439-62239,65439-22100,65439-25079,,65439-11505:Emmanuel Sanders,65439-11505,WR,Emmanuel,Emmanuel Sanders,Sanders,13.2800003051758,5,10000,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
65439-62239,65439-64585,65439-11505,65439-21948,65439-70027,,65439-70027:Zack Moss,65439-70027,RB,Zack,Zack Moss,Moss,13.4499998092651,4,9500,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
65439-21948,65439-80294,65439-22288,65439-39280,65439-62239,,65439-64585:Dawson Knox,65439-64585,TE,Dawson,Dawson Knox,Knox,13.0199996948242,5,9000,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
65439-62239,65439-39280,65439-11505,65439-22100,65439-70027,,65439-65128:Tyler Bass,65439-65128,K,Tyler,Tyler Bass,Bass,10.8,5,9000,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
