"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Derrick Henry","TEN","22.6","102.9","0.8","2.1","17.5","0.1","0.1","16.9"
"Kareem Hunt","CLE","17.1","81.3","0.8","3.6","31.4","0.2","0.1","16.8"
"Jonathan Taylor","IND","17.1","81.2","0.9","2.8","24.5","0.1","0.1","16.1"
"Najee Harris","PIT","17.8","72.5","0.6","4.8","41.2","0.2","0.1","16.1"
"Austin Ekeler","LAC","13.6","61.3","0.5","4.9","45.1","0.3","0.1","15.7"
"Dalvin Cook","MIN","17.5","80.3","0.6","3.2","25.5","0.1","0.2","14.4"
"Ezekiel Elliott","DAL","17.9","78.7","0.7","2.4","19.0","0.1","0.1","14.1"
"Aaron Jones","GB","14.7","68.7","0.6","3.4","28.2","0.2","0.1","14.1"
"James Robinson","JAC","16.5","75.1","0.6","2.9","22.1","0.1","0.1","14.0"
"Joe Mixon","CIN","18.0","74.8","0.6","2.4","18.1","0.1","0.1","13.7"
"Antonio Gibson","WAS","15.8","69.7","0.7","2.1","19.1","0.1","0.1","13.6"
"Darrell Henderson Jr.","LAR","15.5","71.2","0.6","2.1","19.4","0.1","0.1","13.2"
"D'Andre Swift","DET","10.6","43.6","0.4","5.2","43.3","0.3","0.1","12.4"
"Chuba Hubbard","CAR","15.5","67.5","0.5","2.8","21.5","0.1","0.1","12.0"
"Leonard Fournette","TB","15.0","58.7","0.5","3.6","25.8","0.1","0.1","11.9"
"Khalil Herbert","CHI","15.2","64.1","0.5","2.1","16.7","0.1","0.1","11.3"
"Josh Jacobs","LV","15.5","60.0","0.5","2.3","16.1","0.0","0.1","10.7"
"Myles Gaskin","MIA","11.4","49.2","0.3","4.0","31.0","0.2","0.1","10.7"
"Darrel Williams","KC","12.9","50.7","0.6","2.1","16.9","0.1","0.1","10.5"
"Melvin Gordon III","DEN","12.8","56.6","0.5","2.0","14.3","0.1","0.1","10.5"
"Damien Harris","NE","14.2","62.1","0.5","1.1","9.0","0.0","0.2","10.0"
"Zack Moss","BUF","11.7","47.7","0.6","1.8","14.4","0.1","0.1","10.0"
"Alex Collins","SEA","13.5","55.8","0.4","1.7","13.8","0.0","0.1","9.5"
"Devontae Booker","NYG","12.1","49.1","0.3","2.5","18.6","0.1","0.1","9.3"
"Latavius Murray","BAL","11.7","51.5","0.5","1.1","7.9","0.0","0.0","8.9"
"Javonte Williams","DEN","10.8","49.8","0.3","2.2","17.2","0.1","0.1","8.8"
"Miles Sanders","PHI","10.5","45.8","0.2","2.7","21.3","0.1","0.1","8.3"
"Chase Edmonds","ARI","7.9","34.6","0.2","3.7","29.3","0.2","0.1","8.2"
"Jamaal Williams","DET","10.8","44.1","0.2","2.5","17.0","0.1","0.0","8.0"
"Tony Pollard","DAL","8.7","43.2","0.2","2.0","16.1","0.1","0.1","7.3"
"James Conner","ARI","10.3","39.2","0.3","1.4","8.8","0.0","0.1","6.8"
"Devin Singletary","BUF","8.7","38.4","0.2","1.9","13.1","0.0","0.1","6.3"
"AJ Dillon","GB","8.5","37.2","0.1","1.5","12.2","0.0","0.1","5.9"
"J.D. McKissic","WAS","3.7","16.6","0.1","3.7","29.2","0.1","0.0","5.9"
"Mark Ingram II","HOU","11.3","41.5","0.2","0.8","4.9","0.0","0.1","5.7"
"Kenneth Gainwell","PHI","4.8","19.3","0.1","3.2","26.2","0.1","0.0","5.7"
"Nyheim Hines","IND","4.5","19.1","0.1","3.1","25.6","0.1","0.1","5.7"
"David Johnson","HOU","5.6","20.7","0.1","2.8","22.5","0.1","0.1","5.1"
"Sony Michel","LAR","8.4","34.5","0.2","0.8","5.7","0.0","0.0","5.1"
"Alexander Mattison","MIN","7.6","32.5","0.1","1.6","11.1","0.1","0.1","5.0"
"Jerick McKinnon","KC","6.4","21.0","0.1","2.0","14.6","0.1","0.0","4.8"
"Ty'Son Williams","BAL","5.8","26.5","0.1","1.5","10.0","0.0","0.1","4.6"
"Brandon Bolden","NE","2.8","13.2","0.1","3.1","22.4","0.1","0.0","4.5"
"Ronald Jones II","TB","7.3","28.9","0.2","0.6","4.2","0.0","0.1","4.3"
"Rhamondre Stevenson","NE","7.0","25.6","0.2","0.8","5.8","0.0","0.1","4.1"
