player_id,stat_id,name,team,pos,salary,schedule_id,home_moneyline,away_moneyline,home_total,away_total,opp,order,rpos,partner_id
11537,408969,"Mason Crosby",GBP,K,9000.00,80296,191,-236,19.25,25.25,CHI,14B,K,6897
11547,1674148,"Ryan Succop",TBB,K,8000.00,80294,247,-305,22.75,29.75,PHI,14B,K,6767
11555,410721,"Nick Folk",NEP,K,9000.00,80292,156,-186,23.5,27,DAL,12B,K,6642
11559,1109832,"Matt Prater",ARI,K,9500.00,80298,-162,137,25.75,22.75,CLE,13B,K,6782
11601,419780,"Aaron Rodgers",GBP,QB,7700.00,80296,191,-236,19.25,25.25,CHI,1B,QB,6894
11604,187741,"Tom Brady",TBB,QB,8700.00,80294,247,-305,22.75,29.75,PHI,1B,QB,6498
11610,1250697,"Joe Flacco",PHI,QB,6100.00,80294,247,-305,22.75,29.75,TBB,,,6714
11613,1114942,"Matthew Stafford",LAR,QB,7900.00,80291,303,-387,20.25,28.25,NYG,1B,QB,6654
11615,493043,"Ben Roethlisberger",PIT,QB,7100.00,80297,-223,185,23.75,18.75,SEA,1B,QB,6589
11619,517291,"Chad Henne",KCC,QB,6000.00,80287,243,-301,23.75,30.25,WAS,,,7844
11620,584648,"Colt McCoy",ARI,QB,6000.00,80298,-162,137,25.75,22.75,CLE,,,11500
11626,547043,"Ryan Fitzpatrick",WAS,QB,6100.00,80287,243,-301,23.75,30.25,KCC,,,7659
11630,1273186,"Cam Newton",NEP,QB,6000.00,80292,156,-186,23.5,27,DAL,,,14185
11633,1125961,"Andy Dalton",CHI,QB,6400.00,80296,191,-236,19.25,25.25,GBP,,,14225
11637,1630777,"Blaine Gabbert",TBB,QB,6000.00,80294,247,-305,22.75,29.75,PHI,,,14194
11654,565754,"Chase Daniel",LAC,QB,6000.00,80293,-147,124,26.75,23.75,BAL,,,8803
11656,1243338,"Tyrod Taylor",HOU,QB,6300.00,80290,-461,355,26.75,16.75,IND,,,14377
