Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
65439-62239,QB,Josh,Josh Allen,Allen,26.3,5.0,17000,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
65439-39280,RB,Derrick,Derrick Henry,Henry,16.9,5.0,15500,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
65439-21948,QB,Ryan,Ryan Tannehill,Tannehill,16.9,5.0,14000,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
65439-25079,WR,Stefon,Stefon Diggs,Diggs,12.9,5.0,12500,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
65439-14190,WR,Julio,Julio Jones,Jones,7.4,3.0,11000,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
65439-11505,WR,Emmanuel,Emmanuel Sanders,Sanders,9.6,5.0,10000,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
65439-70027,RB,Zack,Zack Moss,Moss,10.0,4.0,9500,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
65439-64585,TE,Dawson,Dawson Knox,Knox,7.5,5.0,9000,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
65439-65128,K,Tyler,Tyler Bass,Bass,8.0,5.0,9000,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
65439-70603,RB,Devin,Devin Singletary,Singletary,6.3,5.0,8000,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
65439-22100,K,Randy,Randy Bullock,Bullock,7.4,4.0,8000,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
65439-22288,WR,Cole,Cole Beasley,Beasley,7.3,5.0,7500,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
65439-53097,WR,Josh,Josh Reynolds,Reynolds,2.5,2.0,7000,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
65439-64389,WR,Nick,Nick Westbrook-Ikhine,Westbrook-Ikhine,1.0,4.0,6500,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
65439-80294,TE,Anthony,Anthony Firkser,Firkser,3.6,3.0,6000,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
65439-94534,WR,Gabriel,Gabriel Davis,Davis,2.4,4.0,6000,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
65439-57432,WR,Cameron,Cameron Batson,Batson,0.6,3.0,6000,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
65439-32235,WR,Marcus,Marcus Johnson,Johnson,2.9,1.0,6000,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
65439-53639,WR,Isaiah,Isaiah McKenzie,McKenzie,1.2,5.0,5500,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
65439-62505,TE,MyCole,MyCole Pruitt,Pruitt,1.8,4.0,5500,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
65439-53303,RB,Matt,Matt Breida,Breida,0.9,1.0,5500,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
65439-56212,TE,Tommy,Tommy Sweeney,Sweeney,1.4,2.0,5000,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
