Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
65523-39280,RB,Derrick,Derrick Henry,Henry,27.0166676839193,6,11000,KC@TEN,TEN,KC,,,,,,RB/FLEX
65523-55050,RB,Christian,Christian McCaffrey,McCaffrey,16.8000005086263,3,10000,CAR@NYG,CAR,NYG,IR,Hamstring,,,,RB/FLEX
65523-45889,WR,Davante,Davante Adams,Adams,16.966667175293,6,9000,WAS@GB,GB,WAS,,,,,,WR/FLEX
65523-57439,QB,Patrick,Patrick Mahomes,Mahomes,26.9800008138021,6,8800,KC@TEN,KC,TEN,,,,,,QB
65523-79970,WR,Cooper,Cooper Kupp,Kupp,21.6333338419596,6,8800,DET@LAR,LAR,DET,,,,,,WR/FLEX
65523-63484,QB,Kyler,Kyler Murray,Murray,25.206667582194,6,8700,HOU@ARI,ARI,HOU,,,,,,QB
65523-53681,WR,Tyreek,Tyreek Hill,Hill,19.1166661580404,6,8500,KC@TEN,KC,TEN,Q,Quadriceps,,,,WR/FLEX
65523-40442,RB,Aaron,Aaron Jones,Jones,16.5999997456868,6,8500,WAS@GB,GB,WAS,,,,,,RB/FLEX
65523-63115,QB,Lamar,Lamar Jackson,Jackson,24.6066665649414,6,8400,CIN@BAL,BAL,CIN,,,,,,QB
65523-69531,QB,Jalen,Jalen Hurts,Hurts,25.1999994913737,6,8300,PHI@LV,PHI,LV,,,,,,QB
65523-33076,TE,Travis,Travis Kelce,Kelce,14.966667175293,6,8200,KC@TEN,KC,TEN,,,,,,TE/FLEX
65523-6654,QB,Matthew,Matthew Stafford,Stafford,22.6866658528646,6,8100,DET@LAR,LAR,DET,,,,,,QB
65523-30733,WR/RB,Cordarrelle,Cordarrelle Patterson,Patterson,17.8600006103516,5,8000,ATL@MIA,ATL,MIA,,,,,,RB/WR/FLEX
65523-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,14.283332824707,6,8000,HOU@ARI,ARI,HOU,,,,,,WR/FLEX
65523-6498,QB,Tom,Tom Brady,Brady,25.8766657511393,6,8000,CHI@TB,TB,CHI,,,,,,QB
65523-70157,RB,Darrell,Darrell Henderson Jr.,Henderson Jr.,17.0199996948242,5,8000,DET@LAR,LAR,DET,,,,,,RB/FLEX
65523-6894,QB,Aaron,Aaron Rodgers,Rodgers,19.5399996439616,6,7900,WAS@GB,GB,WAS,,,,,,QB
65523-63589,QB,Sam,Sam Darnold,Darnold,20.4866663614909,6,7700,CAR@NYG,CAR,NYG,,,,,,QB
65523-63043,WR,DJ,DJ Moore,Moore,14.9000002543132,6,7700,CAR@NYG,CAR,NYG,,,,,,WR/FLEX
65523-21948,QB,Ryan,Ryan Tannehill,Tannehill,16.6633338928223,6,7600,KC@TEN,TEN,KC,,,,,,QB
65523-52436,TE,Mark,Mark Andrews,Andrews,14.3000005086263,6,7500,CIN@BAL,BAL,CIN,,,,,,TE/FLEX
65523-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,16.4333330790202,6,7500,CIN@BAL,CIN,BAL,,,,,,WR/FLEX
65523-11612,WR,Antonio,Antonio Brown,Brown,16.1800003051758,5,7400,CHI@TB,TB,CHI,O,Ankle,,,,WR/FLEX
65523-45859,QB,Derek,Derek Carr,Carr,19.4399998982747,6,7400,PHI@LV,LV,PHI,,,,,,QB
65523-64555,WR,Calvin,Calvin Ridley,Ridley,11.25,4,7300,ATL@MIA,ATL,MIA,,,,,,WR/FLEX
65523-87467,RB,Chuba,Chuba Hubbard,Hubbard,8.13333320617676,6,7300,CAR@NYG,CAR,NYG,,,,,,RB/FLEX
65523-6616,QB,Matt,Matt Ryan,Ryan,18.5759994506836,5,7300,ATL@MIA,ATL,MIA,,,,,,QB
65523-86687,WR,Marquise,Marquise Brown,Brown,15.8499997456869,6,7300,CIN@BAL,BAL,CIN,,,,,,WR/FLEX
65523-52442,RB,Joe,Joe Mixon,Mixon,14.5833333333333,6,7200,CIN@BAL,CIN,BAL,,,,,,RB/FLEX
65523-63336,QB,Joe,Joe Burrow,Burrow,19.5,6,7200,CIN@BAL,CIN,BAL,,,,,,QB
65523-56250,WR,Terry,Terry McLaurin,McLaurin,12.8833338419596,6,7200,WAS@GB,WAS,GB,,,,,,WR/FLEX
65523-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,13.353333791097,3,7100,ATL@MIA,MIA,ATL,,,,,,QB
65523-91598,RB,D'Andre,D'Andre Swift,Swift,15.3166669209798,6,7100,DET@LAR,DET,LAR,Q,Groin,,,,RB/FLEX
65523-32384,WR,Mike,Mike Evans,Evans,13.5833333333333,6,7100,CHI@TB,TB,CHI,,,,,,WR/FLEX
65523-63519,QB,Daniel,Daniel Jones,Jones,17.8433329264323,6,7000,CAR@NYG,NYG,CAR,,,,,,QB
65523-72846,WR,A.J.,A.J. Brown,Brown,7.38000030517578,5,7000,KC@TEN,TEN,KC,,,,,,WR/FLEX
65523-52922,RB,Leonard,Leonard Fournette,Fournette,14.1666666666667,6,7000,CHI@TB,TB,CHI,,,,,,RB/FLEX
65523-72731,RB,Josh,Josh Jacobs,Jacobs,13.5249996185303,4,6900,PHI@LV,LV,PHI,,,,,,RB/FLEX
65523-53331,QB,Taylor,Taylor Heinicke,Heinicke,17.4333330790202,6,6900,WAS@GB,WAS,GB,,,,,,QB
65523-14190,WR,Julio,Julio Jones,Jones,8.44999980926514,4,6900,KC@TEN,TEN,KC,Q,Hamstring,,,,WR/FLEX
65523-64576,RB,Damien,Damien Harris,Harris,9.40000025431315,6,6800,NYJ@NE,NE,NYJ,,,,,,RB/FLEX
65523-25011,TE,Darren,Darren Waller,Waller,11.0500005086263,6,6800,PHI@LV,LV,PHI,Q,Ankle,,,,TE/FLEX
65523-90584,QB,Mac,Mac Jones,Jones,13.9133338928223,6,6800,NYJ@NE,NE,NYJ,,,,,,QB
65523-29685,WR,Robert,Robert Woods,Woods,11.5999997456868,6,6800,DET@LAR,LAR,DET,,,,,,WR/FLEX
65523-55635,WR,Chris,Chris Godwin,Godwin,12.3499997456869,6,6700,CHI@TB,TB,CHI,,,,,,WR/FLEX
65523-38435,QB,Jared,Jared Goff,Goff,15.25,6,6700,DET@LAR,DET,LAR,,,,,,QB
65523-52897,RB,Darrel,Darrel Williams,Williams,8.71666653951009,6,6700,KC@TEN,KC,TEN,,,,,,RB/FLEX
65523-90933,RB,Antonio,Antonio Gibson,Gibson,12.2666664123535,6,6600,WAS@GB,WAS,GB,Q,Shin,,,,RB/FLEX
65523-11460,TE,Rob,Rob Gronkowski,Gronkowski,16.8000005086263,3,6500,CHI@TB,TB,CHI,O,Ribs,,,,TE/FLEX
65523-91591,QB,Justin,Justin Fields,Fields,7.74666659037272,6,6500,CHI@TB,CHI,TB,,,,,,QB
65523-40687,RB,James,James Conner,Conner,10.5166664123535,6,6500,HOU@ARI,ARI,HOU,,,,,,RB/FLEX
65523-29501,WR,Brandin,Brandin Cooks,Cooks,12.4333330790202,6,6500,HOU@ARI,HOU,ARI,,,,,,WR/FLEX
65523-27477,WR,Sterling,Sterling Shepard,Shepard,12.25,4,6500,CAR@NYG,NYG,CAR,Q,Hamstring,,,,WR/FLEX
65523-64401,RB,Saquon,Saquon Barkley,Barkley,11.5,5,6500,CAR@NYG,NYG,CAR,O,Ankle,,,,RB/FLEX
65523-14377,QB,Tyrod,Tyrod Taylor,Taylor,20.0699996948242,2,6400,HOU@ARI,HOU,ARI,IR,Hamstring,,,,QB
65523-90406,QB,Zach,Zach Wilson,Wilson,11.576000213623,5,6400,NYJ@NE,NYJ,NE,,,,,,QB
65523-89628,QB,Davis,Davis Mills,Mills,10.0559997558594,5,6400,HOU@ARI,HOU,ARI,,,,,,QB
65523-14225,QB,Andy,Andy Dalton,Dalton,5.20000012715658,3,6300,CHI@TB,CHI,TB,,,,,,QB
65523-30635,RB,Mike,Mike Davis,Davis,9.64000015258789,5,6300,ATL@MIA,ATL,MIA,,,,,,RB/FLEX
65523-71706,TE,T.J.,T.J. Hockenson,Hockenson,10.1833330790202,6,6200,DET@LAR,DET,LAR,Q,Knee,,,,TE/FLEX
65523-83081,RB,Chase,Chase Edmonds,Edmonds,9.81666692097982,6,6200,HOU@ARI,ARI,HOU,,,,,,RB/FLEX
65523-60858,WR,Christian,Christian Kirk,Kirk,11.3166669209798,6,6200,HOU@ARI,ARI,HOU,,,,,,WR/FLEX
65523-22027,QB,Nick,Nick Foles,Foles,12.4644444783529,9,6200,CHI@TB,CHI,TB,,,,,,QB
65523-30231,QB,Jacoby,Jacoby Brissett,Brissett,9.83666674296061,6,6200,ATL@MIA,MIA,ATL,,,,,,QB
65523-30761,QB,Nathan,Nathan Peterman,Peterman,0.200000002980232,1,6100,PHI@LV,LV,PHI,,,,,,QB
65523-86080,TE,Kyle,Kyle Pitts,Pitts,9.75999984741211,5,6100,ATL@MIA,ATL,MIA,,,,,,TE/FLEX
65523-70051,QB,Tyler,Tyler Huntley,Huntley,1,1,6100,CIN@BAL,BAL,CIN,,,,,,QB
65523-31170,QB,Brandon,Brandon Allen,Allen,3.98000001907349,1,6100,CIN@BAL,CIN,BAL,,,,,,QB
65523-7659,QB,Ryan,Ryan Fitzpatrick,Fitzpatrick,0.72000002861023,1,6100,WAS@GB,WAS,GB,IR,Hip,,,,QB
