,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
0,65656-89675,RB,Jonathan,Jonathan Taylor,Taylor,15.0,6.0,15000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
2,65656-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,12.0,4.0,14500,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
3,65656-70324,QB,Carson,Carson Wentz,Wentz,16.0,6.0,14000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
4,65656-56018,WR,Deebo,Deebo Samuel,Samuel,17.0,5.0,13000,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
5,65656-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,11.0,6.0,12000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
6,65656-92413,RB,Eli,Eli Mitchell,Mitchell,8.0,3.0,11000,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
8,65656-53390,WR,Zach,Zach Pascal,Pascal,8.0,6.0,10000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
10,65656-56378,K,Joey,Joey Slye,Slye,6.75,4.0,9500,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
13,65656-55145,K,Michael,Michael Badgley,Badgley,4.5,2.0,9000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
14,65656-85798,WR,Brandon,Brandon Aiyuk,Aiyuk,5.0,5.0,8500,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
15,65656-63625,RB,Nyheim,Nyheim Hines,Hines,6.0,6.0,8000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
16,65656-24533,TE,Mo,Mo Alie-Cox,Alie-Cox,6.0,6.0,7500,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
17,65656-86646,RB,Trey,Trey Sermon,Sermon,6.0,4.0,7500,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
18,65656-57909,RB,Marlon,Marlon Mack,Mack,0.0,4.0,7000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
19,65656-83138,TE,Ross,Ross Dwelley,Dwelley,0.0,2.0,7000,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
20,65656-22018,WR,Mohamed,Mohamed Sanu,Sanu,4.0,5.0,6500,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
22,65656-83091,RB,Trenton,Trenton Cannon,Cannon,0.0,4.0,6000,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
23,65656-39859,TE,Jack,Jack Doyle,Doyle,6.0,6.0,6000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
24,65656-65724,RB,JaMycal,JaMycal Hasty,Hasty,4.0,2.0,6000,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
25,65656-39428,RB,Kyle,Kyle Juszczyk,Juszczyk,4.0,5.0,5500,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
26,65656-61610,RB,Jacques,Jacques Patrick,Patrick,0.0,1.0,5500,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
27,65656-63806,RB,Kerryon,Kerryon Johnson,Johnson,0.0,14.0,5500,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
28,65656-56059,WR,Trent,Trent Sherfield,Sherfield,0.0,3.0,5500,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
29,65656-55552,RB,Jeff,Jeff Wilson Jr.,Wilson Jr.,0.0,12.0,5000,IND@SF,SF,IND,,Knee - meniscus,,,,MVP - 1.5X Points/AnyFLEX
30,65656-29956,TE,Joshua,Joshua Perkins,Perkins,0.0,1.0,5000,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
33,65656-41997,WR,River,River Cracraft,Cracraft,0.0,5.0,5000,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
34,65656-72718,RB,Benny,Benny LeMay,LeMay,0.0,1.0,5000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
35,65656-22035,WR,Travis,Travis Benjamin,Benjamin,0.0,1.0,5000,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
36,65656-27801,QB,Nate,Nate Sudfeld,Sudfeld,0.0,2.0,5000,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
37,65656-61593,WR,Jauan,Jauan Jennings,Jennings,0.0,2.0,5000,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
38,65656-130334,QB,Jalen,Jalen Morton,Morton,0.0,,5000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
39,65656-89384,WR,DeMichael,DeMichael Harris,Harris,0.0,6.0,5000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
40,65656-83117,TE,Tanner,Tanner Hudson,Hudson,0.0,5.0,5000,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
42,65656-71351,TE,Charlie,Charlie Woerner,Woerner,0.0,1.0,5000,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
43,65656-63550,WR,Isaiah,Isaiah Zuber,Zuber,0.0,4.0,5000,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
45,65656-149710,WR,Mike,Mike Strachan,Strachan,0.0,2.0,5000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
46,65656-104012,WR,Ashton,Ashton Dulin,Dulin,0.0,5.0,5000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
48,65656-29915,QB,Brett,Brett Hundley,Hundley,0.0,2.0,5000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
49,65656-64603,TE,Farrod,Farrod Green,Green,0.0,1.0,5000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
52,65656-71143,TE,Kylen,Kylen Granson,Granson,0.0,2.0,5000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
53,65656-64242,WR,Keke,Keke Coutee,Coutee,0.0,8.0,5000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
54,65656-30837,WR,Jordan,Jordan Matthews,Matthews,0.0,,5000,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
57,65656-28157,WR,Bennie,Bennie Fowler III,Fowler III,0.0,1.0,5000,IND@SF,SF,IND,,,,,,MVP - 1.5X Points/AnyFLEX
58,65656-61693,TE,Danny,Danny Pinter,Pinter,0.0,1.0,5000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
59,65656-69884,RB,Darius,Darius Anderson,Anderson,0.0,1.0,5000,IND@SF,IND,SF,,,,,,MVP - 1.5X Points/AnyFLEX
