,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position,FP,Value,expts,rkpts,vlpts,new_expts
0,66282-55050,RB,Christian,Christian McCaffrey,McCaffrey,16.8000005086263,3,10000,NE@CAR,CAR,NE,,,,,,RB/FLEX,14.5,1.45,31.5,1.05,1.0,15.225000000000001
1,66282-42104,RB,Alvin,Alvin Kamara,Kamara,17.657142639160156,7,9400,ATL@NO,NO,ATL,,,,,,RB/FLEX,18.6,1.98,27.5,1.05,1.0,19.53
2,66282-80001,RB,Austin,Austin Ekeler,Ekeler,19.528570992606028,7,9000,LAC@PHI,LAC,PHI,,,,,,RB/FLEX,16.8,1.87,29.5,1.05,1.0,17.64
3,66282-62239,QB,Josh,Josh Allen,Allen,26.968571254185267,7,9000,BUF@JAC,BUF,JAC,,,,,,QB,27.6,3.07,19.0,0.95,1.05,27.531000000000002
4,66282-45889,WR,Davante,Davante Adams,Adams,16.914285932268417,7,9000,GB@KC,GB,KC,,,,,,WR/FLEX,15.3,1.7,21.75,1.0,1.0,15.3
5,66282-54140,RB,Dalvin,Dalvin Cook,Cook,13.539999389648438,5,8800,MIN@BAL,MIN,BAL,,,,,,RB/FLEX,17.4,1.97,24.0,1.0,1.0,17.4
6,66282-57439,QB,Patrick,Patrick Mahomes,Mahomes,23.20249938964844,8,8500,GB@KC,KC,GB,,,,,,QB,23.3,2.74,20.0,0.95,1.05,23.241750000000003
7,66282-53681,WR,Tyreek,Tyreek Hill,Hill,18.225000381469727,8,8500,GB@KC,KC,GB,,,,,,WR/FLEX,15.7,1.85,20.0,0.95,1.0,14.915
8,66282-40442,RB,Aaron,Aaron Jones,Jones,15.8125,8,8500,GB@KC,GB,KC,,,,,,RB/FLEX,15.3,1.8,21.75,1.0,1.0,15.3
9,66282-63115,QB,Lamar,Lamar Jackson,Jackson,24.38857160295759,7,8300,MIN@BAL,BAL,MIN,,,,,,QB,25.7,3.09,22.5,1.0,1.05,26.985
10,66282-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,16.55714307512556,7,8200,DEN@DAL,DAL,DEN,,,,,,RB/FLEX,16.5,2.01,24.75,1.0,1.0,16.5
11,66282-63484,QB,Kyler,Kyler Murray,Murray,23.092500686645508,8,8200,ARI@SF,ARI,SF,Q,Ankle,,,,QB,10.3,1.26,17.5,0.95,1.0,9.785
12,66282-6894,QB,Aaron,Aaron Rodgers,Rodgers,19.69499969482422,8,8100,GB@KC,GB,KC,IR,Illness,,,,QB,0.0,0.0,21.75,1.0,0.95,0.0
13,66282-56018,WR,Deebo,Deebo Samuel,Samuel,18.87142944335937,7,8000,ARI@SF,SF,ARI,Q,Calf,,,,WR/FLEX,9.2,1.15,16.25,0.95,1.0,8.739999999999998
14,66282-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,17.537500381469727,8,7900,CLE@CIN,CIN,CLE,,,,,,WR/FLEX,14.4,1.82,18.0,0.95,1.0,13.68
15,66282-31716,QB,Dak,Dak Prescott,Prescott,22.25333404541016,6,7900,DEN@DAL,DAL,DEN,,,,,,QB,22.4,2.83,24.75,1.0,1.05,23.52
16,66282-33076,TE,Travis,Travis Kelce,Kelce,12.8125,8,7800,GB@KC,KC,GB,,,,,,TE/FLEX,13.6,1.74,20.0,0.95,1.0,12.92
17,66282-69531,QB,Jalen,Jalen Hurts,Hurts,23.2450008392334,8,7800,LAC@PHI,PHI,LAC,,,,,,QB,20.8,2.67,22.75,1.0,1.05,21.840000000000003
