QB,RB,RB,WR,WR,WR,TE,FLEX,DEF
66282-62239,66282-30733,66282-42142,66282-85701,66282-89981,66282-53681,66282-94094,66282-31207,66282-12526
66282-31716,66282-80001,66282-55552,66282-39716,66282-69581,66282-39829,66282-55042,66282-52442,66282-12542
66282-63336,66282-30733,66282-42142,66282-85701,66282-86687,66282-53681,66282-94094,66282-31207,66282-12526
66282-62239,66282-55552,66282-42142,66282-11505,66282-85701,66282-25079,66282-94094,66282-53681,66282-12526
66282-62239,66282-80001,66282-30733,66282-11505,66282-39829,66282-25079,66282-80011,66282-55552,66282-12542
66282-62239,66282-30733,66282-42142,66282-11505,66282-85701,66282-39829,66282-94094,66282-25079,66282-12546
66282-62239,66282-30733,66282-42142,66282-11505,66282-85701,66282-86687,66282-94094,66282-25079,66282-12530
66282-31716,66282-80001,66282-55552,66282-69581,66282-86687,66282-39829,66282-55042,66282-53681,66282-12531
66282-63336,66282-80001,66282-30733,66282-85701,66282-40669,66282-53681,66282-94094,66282-42142,66282-12531
66282-62239,66282-30733,66282-42142,66282-11505,66282-86687,66282-25079,66282-94094,66282-53681,66282-12531
66282-63336,66282-80001,66282-55552,66282-85701,66282-39829,66282-53681,66282-80011,66282-31207,66282-12526
66282-63336,66282-30733,66282-55552,66282-85701,66282-86687,66282-53681,66282-31207,66282-42142,66282-12526
66282-63336,66282-30733,66282-42142,66282-85701,66282-39829,66282-40669,66282-94094,66282-53681,66282-12526
66282-63336,66282-30733,66282-52442,66282-85701,66282-40669,66282-53681,66282-94094,66282-42142,66282-12526
66282-62239,66282-80001,66282-55552,66282-11505,66282-86687,66282-39829,66282-94094,66282-25079,66282-12531
66282-62239,66282-30733,66282-38791,66282-11505,66282-85701,66282-25079,66282-94094,66282-42142,66282-12531
66282-63336,66282-80001,66282-55552,66282-85701,66282-89981,66282-53681,66282-94094,66282-42142,66282-12526
66282-62239,66282-80001,66282-30733,66282-11505,66282-25079,66282-53681,66282-80011,66282-55552,66282-12531
66282-62239,66282-80001,66282-55552,66282-11505,66282-85701,66282-25079,66282-94094,66282-42142,66282-12542
66282-63336,66282-80001,66282-30733,66282-85701,66282-86687,66282-89981,66282-94094,66282-42142,66282-12530
66282-62239,66282-30733,66282-55552,66282-11505,66282-39829,66282-25079,66282-80011,66282-53681,66282-12526
66282-63336,66282-30733,66282-42142,66282-85701,66282-39829,66282-53681,66282-94094,66282-31207,66282-12526
66282-63336,66282-30733,66282-42142,66282-39716,66282-85701,66282-40669,66282-94094,66282-53681,66282-12526
66282-62239,66282-30733,66282-42142,66282-85701,66282-40669,66282-53681,66282-94094,66282-31207,66282-12526
66282-62239,66282-80001,66282-55552,66282-11505,66282-86687,66282-39829,66282-80011,66282-25079,66282-12530
66282-63336,66282-80001,66282-30733,66282-85701,66282-39829,66282-40669,66282-94094,66282-42142,66282-12542
66282-62239,66282-30733,66282-55552,66282-11505,66282-25079,66282-53681,66282-94094,66282-42142,66282-12526
66282-63336,66282-55552,66282-52442,66282-85701,66282-86687,66282-39829,66282-31207,66282-53681,66282-12531
66282-63336,66282-30733,66282-42142,66282-85701,66282-39829,66282-89981,66282-94094,66282-53681,66282-12542
66282-63336,66282-30733,66282-52442,66282-85701,66282-89981,66282-53681,66282-94094,66282-42142,66282-12542
66282-62239,66282-80001,66282-55552,66282-11505,66282-86687,66282-25079,66282-80011,66282-52442,66282-12530
66282-62239,66282-30733,66282-42142,66282-85701,66282-89981,66282-40669,66282-94094,66282-53681,66282-12542
66282-62239,66282-30733,66282-42142,66282-11505,66282-85701,66282-39829,66282-94094,66282-25079,66282-12530
66282-62239,66282-30733,66282-52442,66282-11505,66282-85701,66282-25079,66282-94094,66282-42142,66282-12530
66282-62239,66282-80001,66282-38791,66282-11505,66282-39829,66282-25079,66282-80011,66282-55552,66282-12531
66282-63336,66282-80001,66282-30733,66282-63043,66282-85701,66282-40669,66282-94094,66282-42142,66282-12526
66282-62239,66282-30733,66282-42142,66282-11505,66282-39829,66282-25079,66282-94094,66282-53681,66282-12531
66282-62239,66282-80001,66282-55552,66282-85701,66282-40669,66282-53681,66282-80011,66282-31207,66282-12526
66282-62239,66282-30733,66282-52442,66282-11505,66282-25079,66282-53681,66282-94094,66282-42142,66282-12531
66282-62239,66282-80001,66282-30733,66282-11505,66282-94534,66282-85701,66282-94094,66282-42142,66282-12526
