,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position,FP,Value
0,66659-90575,RB,Najee,Najee Harris,Harris,21.840000000000003,8,9400,DET@PIT,PIT,DET,,,,,,RB/FLEX,,
1,66659-89675,RB,Jonathan,Jonathan Taylor,Taylor,17.195,9,9400,JAC@IND,IND,JAC,,,,,,RB/FLEX,,
2,66659-55050,RB,Christian,Christian McCaffrey,McCaffrey,18.65325,4,9000,CAR@ARI,CAR,ARI,,,,,,RB/FLEX,,
3,66659-42104,RB,Alvin,Alvin Kamara,Kamara,0.0,8,8800,NO@TEN,NO,TEN,O,Knee,,,,RB/FLEX,,
4,66659-62239,QB,Josh,Josh Allen,Allen,26.23425,8,8700,BUF@NYJ,BUF,NYJ,,,,,,QB,,
5,66659-45889,WR,Davante,Davante Adams,Adams,18.375,8,8700,SEA@GB,GB,SEA,,,,,,WR/FLEX,,
6,66659-80001,RB,Austin,Austin Ekeler,Ekeler,17.855249999999998,8,8600,MIN@LAC,LAC,MIN,,,,,,RB/FLEX,,
7,66659-54140,RB,Dalvin,Dalvin Cook,Cook,19.6245,6,8500,MIN@LAC,MIN,LAC,,,,,,RB/FLEX,,
8,66659-53562,RB,Nick,Nick Chubb,Chubb,0.0,7,8300,CLE@NE,CLE,NE,IR,Illness,,,,RB/FLEX,,
9,66659-6498,QB,Tom,Tom Brady,Brady,22.575,8,8300,TB@WAS,TB,WAS,,,,,,QB,,
10,66659-63484,QB,Kyler,Kyler Murray,Murray,20.727000000000004,8,8300,CAR@ARI,ARI,CAR,Q,Ankle,,,,QB,,
11,66659-40442,RB,Aaron,Aaron Jones,Jones,16.485,9,8200,SEA@GB,GB,SEA,,,,,,RB/FLEX,,
12,66659-31716,QB,Dak,Dak Prescott,Prescott,23.142,7,8100,ATL@DAL,DAL,ATL,,,,,,QB,,
13,66659-73048,WR,DK,DK Metcalf,Metcalf,,8,8000,SEA@GB,SEA,GB,,,,,,WR/FLEX,,
14,66659-69189,QB,Justin,Justin Herbert,Herbert,22.743,8,8000,MIN@LAC,LAC,MIN,,,,,,QB,,
15,66659-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,15.105,8,8000,ATL@DAL,DAL,ATL,,,,,,RB/FLEX,,
16,66659-25079,WR,Stefon,Stefon Diggs,Diggs,12.635,8,7900,BUF@NYJ,BUF,NYJ,,,,,,WR/FLEX,,
17,66659-30733,RB,Cordarrelle,Cordarrelle Patterson,Patterson,14.535,8,7800,ATL@DAL,ATL,DAL,,,,,,RB/FLEX,,
18,66659-55635,WR,Chris,Chris Godwin,Godwin,7.03,8,7800,TB@WAS,TB,WAS,Q,Foot,,,,WR/FLEX,,
19,66659-6894,QB,Aaron,Aaron Rodgers,Rodgers,21.93975,8,7800,SEA@GB,GB,SEA,,,,,,QB,,
20,66659-86631,WR,CeeDee,CeeDee Lamb,Lamb,11.875,8,7700,ATL@DAL,DAL,ATL,,,,,,WR/FLEX,,
21,66659-69531,QB,Jalen,Jalen Hurts,Hurts,21.21,9,7700,PHI@DEN,PHI,DEN,,,,,,QB,,
22,66659-72846,WR,A.J.,A.J. Brown,Brown,15.3,8,7600,NO@TEN,TEN,NO,,,,,,WR/FLEX,,
23,66659-22038,QB,Kirk,Kirk Cousins,Cousins,19.73475,8,7600,MIN@LAC,MIN,LAC,,,,,,QB,,
24,66659-130288,RB,James,James Robinson,Robinson,7.03,7,7500,JAC@IND,JAC,IND,Q,Heel,,,,RB/FLEX,,
25,66659-11612,WR,Antonio,Antonio Brown,Brown,0.0,5,7500,TB@WAS,TB,WAS,O,Ankle,,,,WR/FLEX,,
26,66659-22015,QB,Russell,Russell Wilson,Wilson,20.37,5,7500,SEA@GB,SEA,GB,,,,,,QB,,
27,66659-85671,WR,Justin,Justin Jefferson,Jefferson,13.545000000000002,8,7500,MIN@LAC,MIN,LAC,,,,,,WR/FLEX,,
28,66659-70324,QB,Carson,Carson Wentz,Wentz,19.3515,9,7500,JAC@IND,IND,JAC,,,,,,QB,,
29,66659-21948,QB,Ryan,Ryan Tannehill,Tannehill,18.900000000000002,9,7400,NO@TEN,TEN,NO,,,,,,QB,,
30,66659-66008,WR,Diontae,Diontae Johnson,Johnson,14.3,7,7400,DET@PIT,PIT,DET,,,,,,WR/FLEX,,
31,66659-32384,WR,Mike,Mike Evans,Evans,16.905,8,7400,TB@WAS,TB,WAS,,,,,,WR/FLEX,,
32,66659-52922,RB,Leonard,Leonard Fournette,Fournette,13.6,8,7400,TB@WAS,TB,WAS,,,,,,RB/FLEX,,
33,66659-31001,WR,Amari,Amari Cooper,Cooper,12.54,8,7300,ATL@DAL,DAL,ATL,,,,,,WR/FLEX,,
34,66659-91598,RB,D'Andre,D'Andre Swift,Swift,18.900000000000002,8,7300,DET@PIT,DET,PIT,,,,,,RB/FLEX,,
35,66659-6616,QB,Matt,Matt Ryan,Ryan,18.65325,8,7300,ATL@DAL,ATL,DAL,,,,,,QB,,
36,66659-45565,QB,Taysom,Taysom Hill,Hill,4.389,6,7300,NO@TEN,NO,TEN,,,,,,QB,,
37,66659-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,18.480000000000004,9,7200,PHI@DEN,DEN,PHI,,,,,,QB,,
38,66659-29253,WR,Keenan,Keenan Allen,Allen,12.73,8,7200,MIN@LAC,LAC,MIN,Q,Knee,,,,WR/FLEX,,
