Player,FP,Salary,Value,C/A,Yds,TDs,Ints,Att,Yds,TDs,Rec,Yds,TDs,TGTS
"Josh Allen ",23.3,"$8,800",2.65,"23.91 / 36.86",276.72,1.88,0.82,7.35,34.48,0.43,0.00,0.00,0.00,0.00
"Dak Prescott ",21.2,"$8,200",2.58,"24.40 / 35.72",265.64,2.12,0.66,3.47,15.51,0.26,0.00,0.00,0.00,0.00
"Derek Carr ",18.5,"$7,400",2.5,"24.56 / 37.02",299.89,1.60,0.73,2.09,8.15,0.08,0.00,0.00,0.00,0.00
"D'Andre Swift ",17.2,"$8,000",2.15,"0.00 / 0.00",0.00,0.00,0.00,15.20,66.37,0.51,5.00,37.99,0.21,6.78
"Ezekiel Elliott ",16.2,"$8,400",1.93,"0.00 / 0.00",0.00,0.00,0.00,16.20,71.56,0.65,3.32,21.66,0.24,4.29
"Andy Dalton ",16.2,"$7,200",2.25,"19.98 / 30.67",226.79,1.33,0.70,4.17,15.20,0.21,0.00,0.00,0.00,0.00
"David Montgomery ",14.7,"$7,500",1.96,"0.00 / 0.00",0.00,0.00,0.00,17.88,75.51,0.56,2.25,18.32,0.14,2.91
"Stefon Diggs ",14.1,"$8,300",1.7,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,5.99,79.93,0.52,9.22
"Darren Waller ",13.8,"$7,300",1.9,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,6.06,84.88,0.40,8.88
"Trevor Siemian ",12.2,"$7,000",1.74,"17.85 / 31.67",192.32,1.10,0.75,1.42,6.11,0.07,0.00,0.00,0.00,0.00
"Josh Jacobs ",11.6,"$6,700",1.73,"0.00 / 0.00",0.00,0.00,0.00,11.62,50.51,0.39,2.74,20.98,0.13,3.70
"Hunter Renfrow ",10.7,"$6,200",1.73,"0.00 / 0.00",0.00,0.00,0.00,0.46,3.29,0.03,4.91,59.27,0.33,7.40
"Darnell Mooney ",10.7,"$6,800",1.57,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,5.11,62.85,0.31,8.13
"Tony Pollard ",10.6,"$5,900",1.8,"0.00 / 0.00",0.00,0.00,0.00,9.26,41.66,0.32,2.79,21.62,0.17,3.57
"Michael Gallup ",10.4,"$6,500",1.6,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,4.21,58.42,0.41,7.14
"Mark Ingram GTD",9.5,"$6,600",1.43,"0.00 / 0.00",0.00,0.00,0.00,9.97,45.52,0.35,1.74,15.82,0.07,2.69
"Dalton Schultz ",9.3,"$6,000",1.55,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,4.48,47.91,0.38,6.25
"T.J. Hockenson ",8.3,"$6,100",1.36,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,4.41,44.48,0.28,6.95
"Amon-Ra St. Brown ",8.3,"$5,500",1.5,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,4.04,49.48,0.22,6.43
"Cole Beasley ",8.0,"$5,700",1.41,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,3.92,42.32,0.30,5.90
"Tony Jones Jr. ",8.0,"$4,800",1.67,"0.00 / 0.00",0.00,0.00,0.00,9.97,38.09,0.30,1.55,13.35,0.06,2.53
"Emmanuel Sanders ",7.7,"$5,800",1.33,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,3.26,44.75,0.27,5.16
"Chicago D/ST ",7.4,"$5,000",1.47,,,,,,,,,,,
"Kenyan Drake ",7.3,"$5,600",1.3,"0.00 / 0.00",0.00,0.00,0.00,5.81,26.31,0.19,2.36,18.49,0.10,3.33
"CeeDee Lamb GTD",7.2,"$7,700",0.93,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,3.02,38.10,0.31,4.46
"Bryan Edwards ",7.1,"$5,300",1.35,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,2.80,45.39,0.20,4.63
"Buffalo D/ST ",7.1,"$4,500",1.57,,,,,,,,,,,
"Tim Boyle ",7.0,"$6,200",1.13,"11.36 / 17.43",120.44,0.61,0.53,0.52,2.08,0.02,0.00,0.00,0.00,0.00
"Jared Goff OUT",7.0,"$6,700",1.04,"11.43 / 17.33",117.06,0.60,0.37,0.65,2.40,0.03,0.00,0.00,0.00,0.00
"Cole Kmet ",6.9,"$5,000",1.39,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,3.59,36.15,0.26,5.21
"Dallas D/ST ",6.7,"$4,000",1.68,,,,,,,,,,,
"Dawson Knox ",6.4,"$5,900",1.09,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,2.91,34.90,0.25,4.79
"Cedrick Wilson ",6.4,"$5,600",1.14,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,2.79,33.47,0.28,4.29
"Devin Singletary ",6.2,"$5,800",1.07,"0.00 / 0.00",0.00,0.00,0.00,6.30,27.35,0.14,1.97,13.30,0.10,2.76
"Detroit D/ST ",6.1,"$3,700",1.66,,,,,,,,,,,
"Marquise Goodwin ",6.0,"$5,400",1.12,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,2.35,38.01,0.18,4.45
"Kalif Raymond ",6.0,"$5,100",1.17,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,2.65,37.30,0.17,4.35
"Jamaal Williams ",5.9,"$5,200",1.13,"0.00 / 0.00",0.00,0.00,0.00,7.79,31.78,0.18,1.14,8.18,0.04,1.56
"New Orleans D/ST ",5.8,"$3,800",1.52,,,,,,,,,,,
"Zack Moss ",5.7,"$5,700",1.01,"0.00 / 0.00",0.00,0.00,0.00,6.43,25.89,0.18,1.32,10.64,0.07,1.84
"Marquez Callaway ",5.1,"$5,700",0.9,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,2.35,29.99,0.16,4.59
"Tre'Quan Smith ",5.1,"$5,900",0.86,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,2.24,29.17,0.17,4.28
"Josh Reynolds ",4.9,"$4,900",0.99,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,2.21,29.67,0.14,3.82
"Matt Breida ",4.6,"$5,300",0.87,"0.00 / 0.00",0.00,0.00,0.00,5.25,23.40,0.11,1.06,9.00,0.06,1.47
"Jakeem Grant ",4.5,"$4,600",0.98,"0.00 / 0.00",0.00,0.00,0.00,0.60,3.73,0.04,1.97,23.13,0.13,3.07
"Deonte Harris ",4.4,"$5,200",0.85,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,2.07,25.68,0.15,3.96
"Las Vegas D/ST ",4.1,"$3,500",1.16,,,,,,,,,,,
"DeSean Jackson ",4.0,"$5,000",0.81,"0.00 / 0.00",0.00,0.00,0.00,0.46,3.30,0.03,1.23,22.69,0.11,2.22
"Noah Brown ",4.0,"$4,700",0.86,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,1.85,21.92,0.16,2.86
"Khalil Herbert ",4.0,"$4,900",0.81,"0.00 / 0.00",0.00,0.00,0.00,4.77,20.14,0.14,0.71,5.64,0.04,0.92
"Gabriel Davis ",3.8,"$4,800",0.79,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,1.49,22.07,0.15,2.58
"Foster Moreau ",3.7,"$4,700",0.78,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,1.68,19.53,0.15,2.41
"Damiere Byrd ",3.7,"$4,800",0.76,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,1.79,21.78,0.11,2.76
"Nick Vannett ",3.5,"$4,200",0.84,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,1.74,18.19,0.14,3.01
"Malik Turner ",3.2,"$4,600",0.69,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,1.42,17.27,0.13,2.14
"Juwan Johnson ",3.0,"$4,500",0.66,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,1.43,15.75,0.12,2.53
"Taysom Hill ",3.0,"$7,000",0.42,"0.00 / 0.00",0.00,0.00,0.00,1.71,7.80,0.10,1.19,9.30,0.04,1.90
