,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
0,67797-89675,RB,Jonathan,Jonathan Taylor,Taylor,22.3,12,10500,IND@HOU,IND,HOU,,,,,,RB/FLEX
1,67797-52442,RB,Joe,Joe Mixon,Mixon,18.0,11,9400,LAC@CIN,CIN,LAC,,,,,,RB/FLEX
2,67797-79970,WR,Cooper,Cooper Kupp,Kupp,18.9,11,9000,JAC@LAR,LAR,JAC,,,,,,WR/FLEX
3,67797-80001,RB,Austin,Austin Ekeler,Ekeler,16.2,11,9000,LAC@CIN,LAC,CIN,,,,,,RB/FLEX
4,67797-72776,RB,Alexander,Alexander Mattison,Mattison,18.5,11,8700,MIN@DET,MIN,DET,,,,,,RB/FLEX
5,67797-54140,RB,Dalvin,Dalvin Cook,Cook,0.0,9,8700,MIN@DET,MIN,DET,O,Shoulder,,,,RB/FLEX
6,67797-63115,QB,Lamar,Lamar Jackson,Jackson,23.0,10,8500,BAL@PIT,BAL,PIT,,,,,,QB
7,67797-63484,QB,Kyler,Kyler Murray,Murray,20.4,8,8300,ARI@CHI,ARI,CHI,Q,Ankle,,,,QB
8,67797-69189,QB,Justin,Justin Herbert,Herbert,20.3,11,8200,LAC@CIN,LAC,CIN,,,,,,QB
9,67797-56018,WR,Deebo,Deebo Samuel,Samuel,0.0,11,8200,SF@SEA,SF,SEA,O,Groin,,,,WR/FLEX
10,67797-6498,QB,Tom,Tom Brady,Brady,21.8,11,8100,TB@ATL,TB,ATL,,,,,,QB
11,67797-90575,RB,Najee,Najee Harris,Harris,17.2,11,8000,BAL@PIT,PIT,BAL,,,,,,RB/FLEX
12,67797-85671,WR,Justin,Justin Jefferson,Jefferson,15.7,11,8000,MIN@DET,MIN,DET,,,,,,WR/FLEX
13,67797-69531,QB,Jalen,Jalen Hurts,Hurts,0.0,12,8000,PHI@NYJ,PHI,NYJ,Q,Ankle,,,,QB
14,67797-6654,QB,Matthew,Matthew Stafford,Stafford,22.0,11,7800,JAC@LAR,LAR,JAC,,,,,,QB
15,67797-22038,QB,Kirk,Kirk Cousins,Cousins,19.9,11,7700,MIN@DET,MIN,DET,,,,,,QB
16,67797-52922,RB,Leonard,Leonard Fournette,Fournette,15.3,11,7700,TB@ATL,TB,ATL,,,,,,RB/FLEX
17,67797-92413,RB,Eli,Eli Mitchell,Mitchell,,8,7600,SF@SEA,SF,SEA,,,,,,RB/FLEX
18,67797-55635,WR,Chris,Chris Godwin,Godwin,15.0,11,7600,TB@ATL,TB,ATL,,,,,,WR/FLEX
19,67797-39716,WR,Adam,Adam Thielen,Thielen,13.1,11,7600,MIN@DET,MIN,DET,,,,,,WR/FLEX
20,67797-70157,RB,Darrell,Darrell Henderson Jr.,Henderson Jr.,,10,7500,JAC@LAR,LAR,JAC,Q,Thigh,,,,RB/FLEX
21,67797-70324,QB,Carson,Carson Wentz,Wentz,17.8,12,7500,IND@HOU,IND,HOU,,,,,,QB
22,67797-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,13.2,11,7500,LAC@CIN,CIN,LAC,,,,,,WR/FLEX
23,67797-45859,QB,Derek,Derek Carr,Carr,19.2,11,7500,WAS@LV,LV,WAS,,,,,,QB
24,67797-30733,RB,Cordarrelle,Cordarrelle Patterson,Patterson,13.7,10,7400,TB@ATL,ATL,TB,,,,,,RB/FLEX
25,67797-32384,WR,Mike,Mike Evans,Evans,13.2,11,7400,TB@ATL,TB,ATL,,,,,,WR/FLEX
26,67797-63336,QB,Joe,Joe Burrow,Burrow,18.2,11,7400,LAC@CIN,CIN,LAC,,,,,,QB
27,67797-52436,TE,Mark,Mark Andrews,Andrews,11.3,11,7300,BAL@PIT,BAL,PIT,,,,,,TE/FLEX
28,67797-73048,WR,DK,DK Metcalf,Metcalf,,11,7300,SF@SEA,SEA,SF,,,,,,WR/FLEX
29,67797-22015,QB,Russell,Russell Wilson,Wilson,17.7,8,7300,SF@SEA,SEA,SF,,,,,,QB
30,67797-29253,WR,Keenan,Keenan Allen,Allen,13.3,11,7300,LAC@CIN,LAC,CIN,,,,,,WR/FLEX
31,67797-40687,RB,James,James Conner,Conner,15.1,11,7300,ARI@CHI,ARI,CHI,,,,,,RB/FLEX
32,67797-63519,QB,Daniel,Daniel Jones,Jones,0.0,11,7200,NYG@MIA,NYG,MIA,O,Neck,,,,QB
33,67797-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,12.3,8,7200,ARI@CHI,ARI,CHI,Q,Hamstring,,,,WR/FLEX
34,67797-91598,RB,D'Andre,D'Andre Swift,Swift,0.0,11,7200,MIN@DET,DET,MIN,O,Shoulder - ac joint,,,,RB/FLEX
35,67797-66008,WR,Diontae,Diontae Johnson,Johnson,12.3,10,7200,BAL@PIT,PIT,BAL,,,,,,WR/FLEX
36,67797-64401,RB,Saquon,Saquon Barkley,Barkley,14.7,7,7200,NYG@MIA,NYG,MIA,,,,,,RB/FLEX
