Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Cooper Kupp (19546107),Cooper Kupp,19546107,CPT,18600,LAR@SEA 10/07/2021 08:20PM ET,LAR,27.15
QB,Russell Wilson (19546108),Russell Wilson,19546108,CPT,17700,LAR@SEA 10/07/2021 08:20PM ET,SEA,23.14
QB,Matthew Stafford (19546109),Matthew Stafford,19546109,CPT,17100,LAR@SEA 10/07/2021 08:20PM ET,LAR,24.60
WR,DK Metcalf (19546110),DK Metcalf,19546110,CPT,15300,LAR@SEA 10/07/2021 08:20PM ET,SEA,17.38
WR,Tyler Lockett (19546111),Tyler Lockett,19546111,CPT,14400,LAR@SEA 10/07/2021 08:20PM ET,SEA,19.32
RB,Darrell Henderson Jr. (19546112),Darrell Henderson Jr.,19546112,CPT,12600,LAR@SEA 10/07/2021 08:20PM ET,LAR,16.5
WR,Cooper Kupp (19546053),Cooper Kupp,19546053,FLEX,12400,LAR@SEA 10/07/2021 08:20PM ET,LAR,27.15
QB,Russell Wilson (19546054),Russell Wilson,19546054,FLEX,11800,LAR@SEA 10/07/2021 08:20PM ET,SEA,23.14
QB,Matthew Stafford (19546055),Matthew Stafford,19546055,FLEX,11400,LAR@SEA 10/07/2021 08:20PM ET,LAR,24.60
WR,Robert Woods (19546113),Robert Woods,19546113,CPT,11400,LAR@SEA 10/07/2021 08:20PM ET,LAR,11.5
WR,DK Metcalf (19546056),DK Metcalf,19546056,FLEX,10200,LAR@SEA 10/07/2021 08:20PM ET,SEA,17.38
RB,Chris Carson (19546114),Chris Carson,19546114,CPT,9900,LAR@SEA 10/07/2021 08:20PM ET,SEA,12.28
WR,Tyler Lockett (19546057),Tyler Lockett,19546057,FLEX,9600,LAR@SEA 10/07/2021 08:20PM ET,SEA,19.32
QB,Jake Luton (19546115),Jake Luton,19546115,CPT,9000,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
QB,Bryce Perkins (19546116),Bryce Perkins,19546116,CPT,9000,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
QB,John Wolford (19546117),John Wolford,19546117,CPT,9000,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
QB,Geno Smith (19546118),Geno Smith,19546118,CPT,9000,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
RB,Darrell Henderson Jr. (19546058),Darrell Henderson Jr.,19546058,FLEX,8400,LAR@SEA 10/07/2021 08:20PM ET,LAR,16.5
TE,Tyler Higbee (19546119),Tyler Higbee,19546119,CPT,8400,LAR@SEA 10/07/2021 08:20PM ET,LAR,9.05
WR,Robert Woods (19546059),Robert Woods,19546059,FLEX,7600,LAR@SEA 10/07/2021 08:20PM ET,LAR,11.5
WR,Van Jefferson Jr. (19546120),Van Jefferson Jr.,19546120,CPT,7200,LAR@SEA 10/07/2021 08:20PM ET,LAR,11.9
WR,Freddie Swain (19546121),Freddie Swain,19546121,CPT,6900,LAR@SEA 10/07/2021 08:20PM ET,SEA,8.9
RB,Chris Carson (19546060),Chris Carson,19546060,FLEX,6600,LAR@SEA 10/07/2021 08:20PM ET,SEA,12.28
WR,DeSean Jackson (19546122),DeSean Jackson,19546122,CPT,6600,LAR@SEA 10/07/2021 08:20PM ET,LAR,7.42
QB,Jake Luton (19546061),Jake Luton,19546061,FLEX,6000,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
QB,Bryce Perkins (19546062),Bryce Perkins,19546062,FLEX,6000,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
QB,John Wolford (19546063),John Wolford,19546063,FLEX,6000,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
QB,Geno Smith (19546064),Geno Smith,19546064,FLEX,6000,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
TE,Gerald Everett (19546123),Gerald Everett,19546123,CPT,6000,LAR@SEA 10/07/2021 08:20PM ET,SEA,7.23
TE,Will Dissly (19546124),Will Dissly,19546124,CPT,5700,LAR@SEA 10/07/2021 08:20PM ET,SEA,3.52
TE,Tyler Higbee (19546065),Tyler Higbee,19546065,FLEX,5600,LAR@SEA 10/07/2021 08:20PM ET,LAR,9.05
K,Matt Gay (19546125),Matt Gay,19546125,CPT,5400,LAR@SEA 10/07/2021 08:20PM ET,LAR,10.25
K,Jason Myers (19546126),Jason Myers,19546126,CPT,5100,LAR@SEA 10/07/2021 08:20PM ET,SEA,5.25
WR,Van Jefferson Jr. (19546066),Van Jefferson Jr.,19546066,FLEX,4800,LAR@SEA 10/07/2021 08:20PM ET,LAR,11.9
RB,Alex Collins (19546127),Alex Collins,19546127,CPT,4800,LAR@SEA 10/07/2021 08:20PM ET,SEA,6.37
WR,Freddie Swain (19546067),Freddie Swain,19546067,FLEX,4600,LAR@SEA 10/07/2021 08:20PM ET,SEA,8.9
DST,Rams  (19546128),Rams ,19546128,CPT,4500,LAR@SEA 10/07/2021 08:20PM ET,LAR,4.25
WR,DeSean Jackson (19546068),DeSean Jackson,19546068,FLEX,4400,LAR@SEA 10/07/2021 08:20PM ET,LAR,7.42
DST,Seahawks  (19546129),Seahawks ,19546129,CPT,4200,LAR@SEA 10/07/2021 08:20PM ET,SEA,4
TE,Gerald Everett (19546069),Gerald Everett,19546069,FLEX,4000,LAR@SEA 10/07/2021 08:20PM ET,SEA,7.23
TE,Will Dissly (19546070),Will Dissly,19546070,FLEX,3800,LAR@SEA 10/07/2021 08:20PM ET,SEA,3.52
K,Matt Gay (19546071),Matt Gay,19546071,FLEX,3600,LAR@SEA 10/07/2021 08:20PM ET,LAR,10.25
K,Jason Myers (19546072),Jason Myers,19546072,FLEX,3400,LAR@SEA 10/07/2021 08:20PM ET,SEA,5.25
RB,Alex Collins (19546073),Alex Collins,19546073,FLEX,3200,LAR@SEA 10/07/2021 08:20PM ET,SEA,6.37
