,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
0,RB,Derrick Henry (19394143),Derrick Henry,19394143,RB/FLEX,8800,TEN@NYJ 10/03/2021 01:00PM ET,TEN,27.93
1,RB,Christian McCaffrey (19394145),Christian McCaffrey,19394145,RB/FLEX,8700,CAR@DAL 10/03/2021 01:00PM ET,CAR,19.47
2,RB,Alvin Kamara (19394147),Alvin Kamara,19394147,RB/FLEX,8400,NYG@NO 10/03/2021 01:00PM ET,NO,15.3
3,QB,Patrick Mahomes (19394053),Patrick Mahomes,19394053,QB,8100,KC@PHI 10/03/2021 01:00PM ET,KC,23.784000000000002
4,TE,Travis Kelce (19395157),Travis Kelce,19395157,TE/FLEX,8100,KC@PHI 10/03/2021 01:00PM ET,KC,19.44
5,RB,Dalvin Cook (19394149),Dalvin Cook,19394149,RB/FLEX,8100,CLE@MIN 10/03/2021 01:00PM ET,MIN,18.540000000000003
6,QB,Josh Allen (19394054),Josh Allen,19394054,QB,8000,HOU@BUF 10/03/2021 01:00PM ET,BUF,20.288
7,WR,Tyreek Hill (19394515),Tyreek Hill,19394515,WR/FLEX,8000,KC@PHI 10/03/2021 01:00PM ET,KC,15.12
8,WR,Davante Adams (19394517),Davante Adams,19394517,WR/FLEX,7900,PIT@GB 10/03/2021 04:25PM ET,GB,20.367
9,QB,Kyler Murray (19394055),Kyler Murray,19394055,QB,7800,ARI@LAR 10/03/2021 04:05PM ET,ARI,31.73
10,WR,Cooper Kupp (19394519),Cooper Kupp,19394519,WR/FLEX,7800,ARI@LAR 10/03/2021 04:05PM ET,LAR,29.16
11,WR,DeAndre Hopkins (19394521),DeAndre Hopkins,19394521,WR/FLEX,7700,ARI@LAR 10/03/2021 04:05PM ET,ARI,15.6
12,RB,Aaron Jones (19394151),Aaron Jones,19394151,RB/FLEX,7700,PIT@GB 10/03/2021 04:25PM ET,GB,18.990000000000002
13,WR,Stefon Diggs (19394523),Stefon Diggs,19394523,WR/FLEX,7600,HOU@BUF 10/03/2021 01:00PM ET,BUF,11.76
