,,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
0,0,64729-6498,QB,Tom,Tom Brady,Brady,29.160001118977863,3.0,16000,TB@NE,TB,NE,,,,,,MVP - 1.5X Points/AnyFLEX
1,1,64729-90584,QB,Mac,Mac Jones,Jones,12.426666259765623,3.0,14500,TB@NE,NE,TB,,,,,,MVP - 1.5X Points/AnyFLEX
2,2,64729-55635,WR,Chris,Chris Godwin,Godwin,16.599999745686848,3.0,14000,TB@NE,TB,NE,,,,,,MVP - 1.5X Points/AnyFLEX
3,3,64729-32384,WR,Mike,Mike Evans,Evans,13.5,3.0,13000,TB@NE,TB,NE,,,,,,MVP - 1.5X Points/AnyFLEX
4,4,64729-64576,RB,Damien,Damien Harris,Harris,8.566666920979818,3.0,12000,TB@NE,NE,TB,,,,,,MVP - 1.5X Points/AnyFLEX
5,5,64729-63634,WR,Jakobi,Jakobi Meyers,Meyers,9.033333460489908,3.0,11500,TB@NE,NE,TB,,,,,,MVP - 1.5X Points/AnyFLEX
6,6,64729-11460,TE,Rob,Rob Gronkowski,Gronkowski,16.8000005086263,3.0,11000,TB@NE,TB,NE,O,Ribs,,,,MVP - 1.5X Points/AnyFLEX
7,7,64729-28930,RB,James,James White,White,8.40000025431315,3.0,10000,TB@NE,NE,TB,IR,Hip,,,,MVP - 1.5X Points/AnyFLEX
8,8,64729-11612,WR,Antonio,Antonio Brown,Brown,11.699999809265137,2.0,10000,TB@NE,TB,NE,,,,,,MVP - 1.5X Points/AnyFLEX
9,9,64729-29683,WR,Nelson,Nelson Agholor,Agholor,7.333333333333333,3.0,10000,TB@NE,NE,TB,,,,,,MVP - 1.5X Points/AnyFLEX
10,10,64729-80289,WR,Kendrick,Kendrick Bourne,Bourne,8.133333206176758,3.0,9500,TB@NE,NE,TB,,,,,,MVP - 1.5X Points/AnyFLEX
11,11,64729-6642,K,Nick,Nick Folk,Folk,11.333333333333334,3.0,9500,TB@NE,NE,TB,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
12,12,64729-52922,RB,Leonard,Leonard Fournette,Fournette,7.633333206176758,3.0,9000,TB@NE,TB,NE,,,,,,MVP - 1.5X Points/AnyFLEX
13,13,64729-73081,K,Quinn,Quinn Nordin,Nordin,,,9000,TB@NE,NE,TB,IR,Abdomen,,,,MVP - 1.5X Points/AnyFLEX
14,14,64729-73575,K,Jose,Jose Borregales,Borregales,,,8500,TB@NE,TB,NE,,,,,,MVP - 1.5X Points/AnyFLEX
15,15,64729-63591,RB,Ronald,Ronald Jones II,Jones II,1.5333333015441897,3.0,8500,TB@NE,TB,NE,,,,,,MVP - 1.5X Points/AnyFLEX
16,16,64729-6767,K,Ryan,Ryan Succop,Succop,6.333333333333333,3.0,8500,TB@NE,TB,NE,,,,,,MVP - 1.5X Points/AnyFLEX
17,17,64729-40845,TE,Hunter,Hunter Henry,Henry,5.299999872843425,3.0,8000,TB@NE,NE,TB,,,,,,MVP - 1.5X Points/AnyFLEX
18,18,64729-61273,WR,Scotty,Scotty Miller,Miller,1.0499999523162842,2.0,7500,TB@NE,TB,NE,IR,Toe,,,,MVP - 1.5X Points/AnyFLEX
19,19,64729-48116,TE,Jonnu,Jonnu Smith,Smith,4.333333333333333,3.0,7500,TB@NE,NE,TB,,,,,,MVP - 1.5X Points/AnyFLEX
20,20,64729-25290,RB,Giovani,Giovani Bernard,Bernard,6.799999872843425,3.0,7000,TB@NE,TB,NE,O,Knee - mcl,,,,MVP - 1.5X Points/AnyFLEX
21,21,64729-54782,TE,Cameron,Cameron Brate,Brate,3.400000095367432,2.0,7000,TB@NE,TB,NE,,,,,,MVP - 1.5X Points/AnyFLEX
22,22,64729-72370,RB,J.J.,J.J. Taylor,Taylor,0.8999999761581421,2.0,6500,TB@NE,NE,TB,,,,,,MVP - 1.5X Points/AnyFLEX
23,23,64729-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,-0.4000000059604645,1.0,6500,TB@NE,NE,TB,,,,,,MVP - 1.5X Points/AnyFLEX
