Week,Year,GID,Name,Pos,Team,h/a,Oppt,FD points,FD salary
3,2021,1529,"Allen, Josh",QB,buf,h,was,37.22,8000.0
3,2021,1552,"Herbert, Justin",QB,lac,a,kan,30.84,7500.0
3,2021,1340,"Stafford, Matthew",QB,lar,h,tam,29.52,7600.0
3,2021,1131,"Brady, Tom",QB,tam,a,lar,28.68,7800.0
3,2021,1524,"Darnold, Sam",QB,car,a,hou,25.26,7100.0
3,2021,1415,"Cousins, Kirk",QB,min,h,sea,25.12,7700.0
3,2021,1523,"Mahomes II, Patrick",QB,kan,h,lac,24.9,8700.0
3,2021,1410,"Tannehill, Ryan",QB,ten,h,ind,23.48,7000.0
3,2021,1487,"Heinicke, Taylor",QB,was,a,buf,22.88,6800.0
3,2021,1554,"Hurts, Jalen",QB,phi,a,dal,22.54,8200.0
3,2021,1441,"Carr, Derek",QB,lvr,h,mia,22.24,7200.0
3,2021,1496,"Brissett, Jacoby",QB,mia,a,oak,20.3,6700.0
3,2021,1527,"Jackson, Lamar",QB,bal,a,det,20.28,8400.0
3,2021,1501,"Prescott, Dak",QB,dal,h,phi,20.12,8000.0
3,2021,1537,"Murray, Kyler",QB,ari,a,jac,19.54,9000.0
3,2021,1550,"Burrow, Joe",QB,cin,a,pit,18.58,6700.0
3,2021,1252,"Rodgers, Aaron",QB,gnb,a,sfo,18.54,7700.0
3,2021,1528,"Mayfield, Baker",QB,cle,h,chi,16.94,6800.0
3,2021,1412,"Wilson, Russell",QB,sea,a,min,16.62,8400.0
3,2021,1539,"Jones, Daniel",QB,nyg,h,atl,16.54,7400.0
3,2021,1452,"Garoppolo, Jimmy",QB,sfo,h,gnb,15.68,6600.0
3,2021,1301,"Ryan, Matt",QB,atl,a,nyg,15.62,7100.0
3,2021,1232,"Roethlisberger, Ben",QB,pit,h,cin,15.22,6900.0
3,2021,1572,"Jones, Mac",QB,nwe,h,nor,14.6,6500.0
3,2021,1465,"Winston, Jameis",QB,nor,a,nwe,13.52,6800.0
3,2021,1439,"Bridgewater, Teddy",QB,den,h,nyj,11.8,7300.0
3,2021,1574,"Mills, Davis",QB,hou,h,car,10.72,6500.0
3,2021,1565,"Lawrence, Trevor",QB,jac,h,ari,9.46,6600.0
3,2021,1530,"Hill, Taysom",QB,nor,a,nwe,9.2,6300.0
3,2021,1490,"Goff, Jared",QB,det,h,bal,9.08,7100.0
3,2021,1514,"Wentz, Carson",QB,ind,a,ten,7.76,7000.0
3,2021,1569,"Lance, Trey",QB,sfo,h,gnb,6.1,6400.0
3,2021,1566,"Wilson, Zach",QB,nyj,a,den,4.6,6500.0
3,2021,1567,"Fields, Justin",QB,chi,a,cle,3.92,6500.0
3,2021,1519,"Trubisky, Mitchell",QB,buf,h,was,1.94,6400.0
3,2021,1561,"Hinton, Kendall",QB,den,h,nyj,0.0,6000.0
3,2021,1521,"Rush, Cooper",QB,dal,h,phi,0.0,6000.0
3,2021,1435,"Keenum, Case",QB,cle,h,chi,0.0,6200.0
3,2021,5444,"Elliott, Ezekiel",RB,dal,h,phi,25.1,7800.0
3,2021,5560,"Hunt, Kareem",RB,cle,h,chi,24.5,5600.0
3,2021,5849,"Robinson, James",RB,jac,h,ari,22.4,5500.0
3,2021,5507,"Barber, Peyton",RB,lvr,h,mia,21.7,5600.0
3,2021,5904,"Harris, Najee",RB,pit,h,cin,21.2,7500.0
3,2021,5822,"Swift, D'Andre",RB,det,h,bal,20.2,7400.0
3,2021,5720,"Mattison, Alexander",RB,min,h,sea,20.1,5200.0
3,2021,5575,"Ekeler, Austin",RB,lac,a,kan,19.7,7000.0
3,2021,5562,"Kamara, Alvin",RB,nor,a,nwe,19.3,8000.0
3,2021,5614,"Barkley, Saquon",RB,nyg,h,atl,18.4,6000.0
3,2021,5445,"Henry, Derrick",RB,ten,h,ind,17.9,9700.0
3,2021,5537,"Conner, James",RB,ari,a,jac,17.8,5300.0
3,2021,5827,"Gibson, Antonio",RB,was,a,buf,16.9,6100.0
3,2021,5543,"Jones, Aaron",RB,gnb,a,sfo,16.6,6900.0
3,2021,5824,"Moss, Zack",RB,buf,h,was,16.6,5400.0
3,2021,5623,"Hines, Nyheim",RB,ind,a,ten,16.4,5200.0
3,2021,5818,"Edwards-Helaire, Clyde",RB,kan,h,lac,15.9,6500.0
3,2021,2889,"Bernard, Giovani",RB,tam,a,lar,15.6,4600.0
3,2021,5565,"Carson, Chris",RB,sea,a,min,15.2,7700.0
3,2021,2991,"Gordon, Melvin",RB,den,h,nyj,14.7,6000.0
3,2021,5541,"Williams, Jamaal",RB,det,h,bal,13.7,5600.0
3,2021,2908,"Juszczyk, Kyle",RB,sfo,h,gnb,13.1,4500.0
3,2021,5905,"Williams, Javonte",RB,den,h,nyj,11.7,5800.0
3,2021,5619,"Edmonds, Chase",RB,ari,a,jac,11.0,6600.0
3,2021,5908,"Sermon, Trey",RB,sfo,h,gnb,10.4,5400.0
3,2021,5535,"Mixon, Joe",RB,cin,a,pit,9.9,6700.0
3,2021,5911,"Hubbard, Chuba",RB,car,a,hou,9.4,4700.0
3,2021,5615,"Michel, Sony",RB,lar,h,tam,9.4,5700.0
3,2021,5441,"Brown, Malcolm",RB,mia,a,oak,9.1,4800.0
3,2021,5320,"Davis, Mike",RB,atl,a,nyg,9.0,5700.0
3,2021,5789,"Gaskin, Myles",RB,mia,a,oak,8.9,5900.0
3,2021,5622,"Chubb, Nick",RB,cle,h,chi,8.4,7800.0
3,2021,5542,"McNichols, Jeremy",RB,ten,h,ind,8.1,4700.0
3,2021,5820,"Taylor, Jonathan",RB,ind,a,ten,7.7,7000.0
3,2021,5446,"Drake, Kenyan",RB,lvr,h,mia,7.2,5700.0
3,2021,5714,"Sanders, Miles",RB,phi,a,dal,7.0,6100.0
3,2021,5718,"Pollard, Tony",RB,dal,h,phi,7.0,5400.0
3,2021,5764,"Ingold, Alec",RB,lvr,h,mia,6.6,4500.0
