,TeamName,2020_Fanduel,2021_Fanduel,2020_stats,2021_stats
0,Arizona Cardinals,ari,ari,ARI,ARI
1,Atlanta Falcons,atl,atl,ATL,ATL
2,Baltimore Ravens,bal,bal,BAL,BAL
3,Buffalo Bills,buf,buf,BUF,BUF
4,Carolina Panthers,car,car,CAR,CAR
5,Chicago Bears,chi,chi,CHI,CHI
6,Cincinnati Bengals,cin,cin,CIN,CIN
7,Cleveland Browns,cle,cle,CLE,CLE
8,Dallas Cowboys,dal,dal,DAL,DAL
9,Denver Broncos,den,den,DEN,DEN
10,Detroit Lions,det,det,DET,DET
11,Green Bay Packers,gnb,gnb,GB,GB
12,Houston Texans,hou,hou,HOU,HOU
13,Indianapolis Colts,ind,ind,IND,IND
14,Jacksonville Jaguars,jac,jac,JAX,JAX
15,Kansas City Chiefs,kan,kan,KC,KC
16,Las Vegas Raiders,lac,lac,LA,LA
17,Los Angeles Chargers,lar,lar,LAC,LAC
18,Los Angeles Rams,lvr,lvr,LV,LV
19,Miami Dolphins,mia,mia,MIA,MIA
20,Minnesota Vikings,min,min,MIN,MIN
21,New England Patriots,nor,nor,NE,NE
22,New Orlean Saints,nwe,nwe,NO,NO
23,New York Giants,nyg,nyg,NYG,NYG
24,New York Jets,nyj,nyj,NYJ,NYJ
25,Philadelphia Eagles,phi,phi,PHI,PHI
26,Pittsburgh Steelers,pit,pit,PIT,PIT
27,San Francisco 49ers,sea,sea,SEA,SEA
28,Seattle Seahawks,sfo,sfo,SF,SF
29,Tampa Bay Buccaneers,tam,tam,TB,TB
30,Tennessee Titans,ten,ten,TEN,TEN
31,Washington Redskins,was,was,WAS,WAS
